dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.500000,17.300000,0.000284,0.028393,1.419667,70.983363,0.000000
0.020000,1.500000,17.300000,0.001420,0.085180,2.839335,70.983363,0.000000
0.020000,1.500383,17.300000,0.003975,0.170360,4.259002,70.983363,0.000000
0.020000,1.504926,17.300000,0.008518,0.283933,5.678669,70.983363,0.000000
0.020000,1.512025,17.300000,0.015616,0.425900,7.098336,70.983363,0.000000
0.020000,1.522246,17.300000,0.025838,0.596260,8.518004,70.983363,0.000000
0.020000,1.536159,17.300000,0.039751,0.795014,9.937671,70.983363,0.000000
0.020000,1.554047,17.300000,0.057638,0.993767,9.937671,0.000000,0.000000
0.020000,1.575910,17.300000,0.079501,1.192520,9.937671,0.000000,0.000000
0.020000,1.601748,17.300000,0.105339,1.391274,9.937671,-0.000000,0.000000
0.020000,1.631561,17.300000,0.135152,1.590027,9.937671,0.000000,0.000000
0.020000,1.665349,17.300000,0.168940,1.788781,9.937671,0.000000,0.000000
0.020000,1.703112,17.300000,0.206704,1.987534,9.937671,-0.000000,0.000000
0.020000,1.744850,17.300000,0.248442,2.186288,9.937671,0.000000,0.000000
0.020000,1.790563,17.300000,0.294155,2.385041,9.937671,-0.000000,0.000000
0.020000,1.840252,17.300000,0.343843,2.583794,9.937671,0.000000,0.000000
0.020000,1.893915,17.300000,0.397507,2.782548,9.937671,0.000000,0.000000
0.020000,1.951554,17.300000,0.455145,2.981301,9.937671,0.000000,0.000000
0.020000,2.013167,17.300000,0.516759,3.180055,9.937671,0.000000,0.000000
0.020000,2.078756,17.300000,0.582348,3.378808,9.937671,0.000000,0.000000
0.020000,2.148320,17.300000,0.651911,3.577561,9.937671,-0.000000,0.000000
0.020000,2.221858,17.300000,0.725450,3.776315,9.937671,-0.000000,0.000000
0.020000,2.299372,17.300000,0.802964,3.975068,9.937671,0.000000,0.000000
0.020000,2.380861,17.300000,0.884453,4.173822,9.937671,0.000000,0.000000
0.020000,2.466325,17.300000,0.969917,4.372575,9.937671,-0.000000,0.000000
0.020000,2.555764,17.300000,1.059356,4.571329,9.937671,0.000000,0.000000
0.020000,2.649178,17.300000,1.152770,4.770082,9.937671,0.000000,0.000000
0.020000,2.746283,17.300000,1.249875,4.940442,8.518004,-70.983363,0.000000
0.020000,2.846512,17.300000,1.350104,5.082409,7.098336,-70.983363,0.000000
0.020000,2.949296,17.300000,1.452887,5.195982,5.678669,-70.983363,0.000000
0.020000,3.054067,17.300000,1.557659,5.281162,4.259002,-70.983363,0.000000
0.020000,3.160258,17.300000,1.663850,5.337949,2.839335,-70.983363,0.000000
0.020000,3.267301,17.300000,1.770893,5.366342,1.419667,-70.983363,0.000000
0.020000,3.374486,17.300000,1.878077,5.352099,-0.712137,-106.590199,0.000000
0.020000,3.481101,17.300000,1.984693,5.309463,-2.131804,-70.983363,0.000000
0.020000,3.586580,17.300000,2.090172,5.238434,-3.551471,-70.983363,0.000000
0.020000,3.690355,17.300000,2.193946,5.139011,-4.971138,-70.983363,0.000000
