dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,9.083573,12.451631,0.000286,0.028557,1.427832,71.391595,6.281933
0.020000,9.083573,12.451631,0.001428,0.085670,2.855664,71.391595,6.282111
0.020000,9.083573,12.451631,0.003998,0.171340,4.283496,71.391595,6.282511
0.020000,9.083815,12.451631,0.008567,0.285566,5.711328,71.391595,0.000038
0.020000,9.090954,12.451635,0.015706,0.428350,7.139160,71.391595,0.001149
0.020000,9.101234,12.451655,0.025987,0.599689,8.566991,71.391595,0.002747
0.020000,9.115227,12.451708,0.039979,0.799586,9.994823,71.391595,0.004918
0.020000,9.133217,12.451822,0.057970,0.999482,9.994823,0.000000,0.007703
0.020000,9.155205,12.452029,0.079959,1.199379,9.994823,-0.000000,0.011098
0.020000,9.181189,12.452369,0.105945,1.399275,9.994823,0.000000,0.015096
0.020000,9.211169,12.452891,0.135930,1.599172,9.994823,-0.000000,0.019690
0.020000,9.245143,12.453648,0.169912,1.799068,9.994823,0.000000,0.024870
0.020000,9.283108,12.454702,0.207892,1.998965,9.994823,0.000000,0.030627
0.020000,9.325063,12.456120,0.249871,2.198861,9.994823,-0.000000,0.036948
0.020000,9.371001,12.457976,0.295847,2.398758,9.994823,-0.000000,0.043819
0.020000,9.420919,12.460350,0.345821,2.598654,9.994823,0.000000,0.051222
0.020000,9.474809,12.463328,0.399793,2.798551,9.994823,0.000000,0.059141
0.020000,9.532662,12.466998,0.457763,2.998447,9.994823,-0.000000,0.067554
0.020000,9.594469,12.471456,0.519731,3.198343,9.994823,0.000000,0.076436
0.020000,9.660218,12.476800,0.585697,3.398240,9.994823,0.000000,0.085763
0.020000,9.729894,12.483134,0.655660,3.598136,9.994823,-0.000000,0.095504
0.020000,9.803482,12.490560,0.729622,3.798033,9.994823,0.000000,0.105628
0.020000,9.880962,12.499187,0.807582,3.997929,9.994823,0.000000,0.116099
0.020000,9.962315,12.509121,0.889539,4.197826,9.994823,-0.000000,0.126880
0.020000,10.047518,12.520470,0.975495,4.397722,9.994823,0.000000,0.137929
0.020000,10.136545,12.533342,1.065448,4.597619,9.994823,0.000000,0.149202
0.020000,10.229370,12.547842,1.159400,4.797515,9.994823,-0.000000,0.160653
0.020000,10.325964,12.564073,1.257349,4.997412,9.994823,0.000000,0.172230
