dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,9.200000,9.184000,0.000286,0.028571,1.428571,71.428571,0.002496
0.020000,9.200000,9.184000,0.001429,0.085714,2.857143,71.428571,0.002149
0.020000,9.200000,9.184000,0.004000,0.171429,4.285714,71.428571,0.001367
0.020000,9.200074,9.184000,0.008571,0.285714,5.714286,71.428571,6.283163
0.020000,9.207218,9.183992,0.015714,0.428571,7.142857,71.428571,6.280985
0.020000,9.217503,9.183953,0.026000,0.600000,8.571429,71.428571,6.277837
0.020000,9.231504,9.183848,0.040000,0.800000,10.000000,71.428571,6.273527
0.020000,9.249502,9.183624,0.058000,1.000000,10.000000,-0.000000,6.267943
0.020000,9.271499,9.183213,0.080000,1.200000,10.000000,0.000000,6.261053
0.020000,9.297490,9.182531,0.106000,1.400000,10.000000,-0.000000,6.252817
0.020000,9.327471,9.181476,0.136000,1.600000,10.000000,0.000000,6.243191
0.020000,9.361436,9.179929,0.170000,1.800000,10.000000,-0.000000,6.232122
0.020000,9.399371,9.177752,0.208000,2.000000,10.000000,0.000000,6.219550
0.020000,9.441267,9.174786,0.250000,2.200000,10.000000,0.000000,6.205410
0.020000,9.487097,9.170851,0.296000,2.400000,10.000000,-0.000000,6.189634
0.020000,9.536836,9.165747,0.346000,2.600000,10.000000,0.000000,6.172149
0.020000,9.590443,9.159248,0.400000,2.800000,10.000000,-0.000000,6.152882
0.020000,9.647867,9.151107,0.458000,3.000000,10.000000,0.000000,6.131760
0.020000,9.709045,9.141052,0.520000,3.200000,10.000000,0.000000,6.108716
0.020000,9.773894,9.128786,0.586000,3.400000,10.000000,-0.000000,6.083693
0.020000,9.842309,9.113991,0.656000,3.600000,10.000000,0.000000,6.056649
0.020000,9.914167,9.096327,0.730000,3.800000,10.000000,0.000000,6.027564
0.020000,9.989315,9.075436,0.808000,4.000000,10.000000,-0.000000,5.996450
0.020000,10.067569,9.050950,0.890000,4.200000,10.000000,0.000000,5.963355
0.020000,10.148719,9.022490,0.976000,4.400000,10.000000,-0.000000,5.928375
0.020000,10.232520,8.989681,1.066000,4.600000,10.000000,0.000000,5.891663
0.020000,10.318699,8.952158,1.160000,4.800000,10.000000,-0.000000,5.853427
0.020000,10.406956,8.909574,1.258000,5.000000,10.000000,0.000000,5.813942
0.020000,10.496971,8.861617,1.360000,5.200000,10.000000,0.000000,5.773539
0.020000,10.588411,8.808015,1.466000,5.400000,10.000000,-0.000000,5.732602
0.020000,10.680940,8.748545,1.576000,5.600000,10.000000,0.000000,5.691555
0.020000,10.774232,8.683041,1.690000,5.800000,10.000000,0.000000,5.650843
0.020000,10.867985,8.611399,1.808000,6.000000,10.000000,0.000000,5.610917
0.020000,10.961927,8.533573,1.930000,6.200000,10.000000,0.000000,5.572212
0.020000,11.055834,8.449575,2.056000,6.400000,10.000000,0.000000,5.535132
0.020000,11.149531,8.359468,2.186000,6.600000,10.000000,0.000000,5.500040
0.020000,11.242902,8.263363,2.320000,6.800000,10.000000,-0.000000,5.467248
0.020000,11.335894,8.161407,2.458000,7.000000,10.000000,0.000000,5.437022
0.020000,11.428517,8.053779,2.600000,7.200000,10.000000,-0.000000,5.409579
