dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.500000,10.300000,0.000281,0.028059,1.402973,70.148671,0.000000
0.020000,1.500000,10.300000,0.000281,0.000000,-1.402973,-140.297342,0.000000
0.020000,1.500000,10.300000,0.000281,0.000000,0.000000,70.148671,0.000000
0.020000,1.504418,10.300000,0.004698,0.220892,11.044601,552.230065,0.000000
0.020000,1.511433,10.300000,0.011713,0.350743,6.492566,-227.601743,0.000000
0.020000,1.521534,10.300000,0.021815,0.505070,7.716354,61.189368,0.000000
0.020000,1.535283,10.300000,0.035564,0.687457,9.119327,70.148671,0.000000
0.020000,1.552961,10.300000,0.053241,0.883873,9.820814,35.074336,0.000000
0.020000,1.574567,10.300000,0.074847,1.080290,9.820814,0.000000,0.000000
0.020000,1.600101,10.300000,0.100381,1.276706,9.820814,0.000000,0.000000
0.020000,1.629563,10.300000,0.129844,1.473122,9.820814,0.000000,0.000000
0.020000,1.662954,10.300000,0.163234,1.669538,9.820814,-0.000000,0.000000
0.020000,1.700273,10.300000,0.200554,1.865955,9.820814,0.000000,0.000000
0.020000,1.741520,10.300000,0.241801,2.062371,9.820814,0.000000,0.000000
0.020000,1.786696,10.300000,0.286977,2.258787,9.820814,-0.000000,0.000000
0.020000,1.835800,10.300000,0.336081,2.455203,9.820814,0.000000,0.000000
0.020000,1.888833,10.300000,0.389113,2.651620,9.820814,-0.000000,0.000000
0.020000,1.945793,10.300000,0.446074,2.848036,9.820814,0.000000,0.000000
0.020000,2.006682,10.300000,0.506963,3.044452,9.820814,-0.000000,0.000000
0.020000,2.071500,10.300000,0.571780,3.240869,9.820814,0.000000,0.000000
0.020000,2.140245,10.300000,0.640526,3.437285,9.820814,0.000000,0.000000
0.020000,2.212919,10.300000,0.713200,3.633701,9.820814,0.000000,0.000000
0.020000,2.289522,10.300000,0.789802,3.830117,9.820814,0.000000,0.000000
0.020000,2.370052,10.300000,0.870333,4.026534,9.820814,-0.000000,0.000000
0.020000,2.454511,10.300000,0.954792,4.222950,9.820814,0.000000,0.000000
0.020000,2.542899,10.300000,1.043179,4.419366,9.820814,0.000000,0.000000
0.020000,2.635214,10.300000,1.135495,4.615783,9.820814,-0.000000,0.000000
0.020000,2.731458,10.300000,1.231739,4.812199,9.820814,0.000000,0.000000
0.020000,2.831631,10.300000,1.331911,5.008615,9.820814,-0.000000,0.000000
0.020000,2.935451,10.300000,1.435731,5.191002,9.119327,-35.074336,0.000000
0.020000,3.042357,10.300000,1.542638,5.345329,7.716354,-70.148671,0.000000
0.020000,3.151789,10.300000,1.652070,5.471596,6.313380,-70.148671,0.000000
0.020000,3.263185,10.300000,1.763466,5.569804,4.910407,-70.148671,0.000000
0.020000,3.375984,10.300000,1.876265,5.639953,3.507434,-70.148671,0.000000
0.020000,3.489625,10.300000,1.989906,5.682042,2.104460,-70.148671,0.000000
0.020000,3.603307,10.300000,2.103588,5.684105,0.103138,-100.066129,0.000000
0.020000,3.716230,10.300000,2.216511,5.646141,-1.898185,-100.066129,0.000000
0.020000,3.827833,10.300000,2.328113,5.580118,-3.301158,-70.148671,0.000000
0.020000,3.937553,10.300000,2.437834,5.486036,-4.704132,-70.148671,0.000000
0.020000,4.044831,10.300000,2.545112,5.363893,-6.107105,-70.148671,0.000000
0.020000,4.149105,10.300000,2.649386,5.213692,-7.510079,-70.148671,0.000000
0.020000,4.249814,10.300000,2.750094,5.035431,-8.913052,-70.148671,0.000000
0.020000,4.346635,10.300000,2.846916,4.841077,-9.717676,-40.231213,0.000000
0.020000,4.439528,10.300000,2.939809,4.644661,-9.820814,-5.156878,0.000000
0.020000,4.528493,10.300000,3.028774,4.448245,-9.820814,-0.000000,0.000000
0.020000,4.613530,10.300000,3.113810,4.251829,-9.820814,0.000000,0.000000
0.020000,4.694638,10.300000,3.194919,4.055412,-9.820814,0.000000,0.000000
0.020000,4.771818,10.300000,3.272099,3.858996,-9.820814,-0.000000,0.000000
0.020000,4.845070,10.300000,3.345350,3.662580,-9.820814,0.000000,0.000000
0.020000,4.914393,10.300000,3.414673,3.466163,-9.820814,0.000000,0.000000
0.020000,4.979788,10.300000,3.480068,3.269747,-9.820814,-0.000000,0.000000
0.020000,5.041254,10.300000,3.541535,3.073331,-9.820814,0.000000,0.000000
0.020000,5.098793,10.300000,3.599073,2.876915,-9.820814,-0.000000,0.000000
0.020000,5.152403,10.300000,3.652683,2.680498,-9.820814,0.000000,0.000000
0.020000,5.202084,10.300000,3.702365,2.484082,-9.820814,0.000000,0.000000
0.020000,5.247838,10.300000,3.748118,2.287666,-9.820814,-0.000000,0.000000
0.020000,5.289663,10.300000,3.789943,2.091249,-9.820814,0.000000,0.000000
0.020000,5.327559,10.300000,3.827840,1.894833,-9.820814,-0.000000,0.000000
0.020000,5.361528,10.300000,3.861808,1.698417,-9.820814,0.000000,0.000000
0.020000,5.391568,10.300000,3.891848,1.502001,-9.820814,-0.000000,0.000000
0.020000,5.417679,10.300000,3.917960,1.305584,-9.820814,0.000000,0.000000
0.020000,5.439863,10.300000,3.940143,1.109168,-9.820814,0.000000,0.000000
0.020000,5.458118,10.300000,3.958398,0.912752,-9.820814,-0.000000,0.000000
0.020000,5.472444,10.300000,3.972725,0.716335,-9.820814,0.000000,0.000000
