dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,9.198855,14.699999,0.000281,0.028056,1.402812,70.140596,0.000954
0.020000,9.199023,14.700000,0.000449,0.008408,-0.982389,-119.260053,0.000814
0.020000,9.199401,14.700000,0.000827,0.018910,0.525099,75.374398,0.000499
0.020000,9.200562,14.700000,0.001987,0.058024,1.955686,71.529338,6.283124
0.020000,9.208624,14.699996,0.010050,0.403114,17.254477,764.939582,6.282251
0.020000,9.220231,14.699978,0.021656,0.580336,8.861102,-419.668777,6.280996
0.020000,9.236023,14.699930,0.037448,0.789604,10.463432,80.116493,6.279292
0.020000,9.256317,14.699829,0.057743,1.014722,11.255858,39.621302,6.277109
0.020000,9.281105,14.699645,0.082532,1.239454,11.236608,-0.962490,6.274454
0.020000,9.310378,14.699344,0.111807,1.463732,11.213917,-1.134519,6.271335
0.020000,9.344124,14.698883,0.145556,1.687454,11.186087,-1.391510,6.267760
0.020000,9.382329,14.698217,0.183766,1.910528,11.153732,-1.617784,6.263740
0.020000,9.424976,14.697293,0.226424,2.132863,11.116714,-1.850888,6.259288
0.020000,9.472047,14.696053,0.273510,2.354343,11.074004,-2.135512,6.254418
0.020000,9.523519,14.694436,0.325008,2.574884,11.027040,-2.348192,6.249145
0.020000,9.579368,14.692375,0.380895,2.794351,10.973398,-2.682069,6.243488
0.020000,9.639566,14.689802,0.441148,3.012660,10.915416,-2.899113,6.237465
0.020000,9.704083,14.686644,0.505742,3.229670,10.850532,-3.244198,6.231099
0.020000,9.772882,14.682826,0.574647,3.445285,10.780732,-3.490012,6.224413
0.020000,9.845928,14.678271,0.647835,3.659368,10.704142,-3.829497,6.217431
0.020000,9.923178,14.672902,0.725271,3.871810,10.622121,-4.101064,6.210183
0.020000,10.004587,14.666641,0.806921,4.082480,10.533504,-4.430842,6.202696
0.020000,10.090107,14.659410,0.892746,4.291264,10.439179,-4.716227,6.195002
0.020000,10.179686,14.651134,0.982707,4.498035,10.338537,-5.032136,6.187136
0.020000,10.273269,14.641737,1.076760,4.702678,10.232163,-5.318663,6.179132
0.020000,10.370798,14.631151,1.174862,4.905075,10.119857,-5.615312,6.171029
0.020000,10.472211,14.619307,1.276964,5.105116,10.002033,-5.891199,6.162864
0.020000,10.577445,14.606144,1.383018,5.302691,9.878770,-6.163156,6.154680
0.020000,10.686433,14.591605,1.492972,5.497699,9.750389,-6.419025,6.146518
0.020000,10.799109,14.575641,1.606773,5.690042,9.617139,-6.662518,6.138425
0.020000,10.915402,14.558210,1.724365,5.879627,9.479286,-6.892664,6.130444
0.020000,11.035243,14.539277,1.845693,6.066370,9.337137,-7.107427,6.122625
0.020000,11.158562,14.518818,1.970696,6.250189,9.190923,-7.310731,6.115015
0.020000,11.285286,14.496819,2.099316,6.431007,9.040893,-7.501481,6.107665
0.020000,11.415348,14.473275,2.231491,6.608752,8.887254,-7.681960,6.100625
0.020000,11.548676,14.448193,2.367159,6.783353,8.730074,-7.859012,6.093949
0.020000,11.685204,14.421594,2.506253,6.954744,8.569553,-8.026019,6.087690
0.020000,11.824865,14.393510,2.648710,7.122853,8.405459,-8.204689,6.081902
0.020000,11.967596,14.363986,2.794463,7.287613,8.238004,-8.372755,6.076641
0.020000,12.113335,14.333085,2.943442,7.448945,8.066575,-8.571457,6.071964
0.020000,12.262022,14.300879,3.095577,7.606772,7.891346,-8.761453,6.067931
0.020000,12.413603,14.267463,3.250797,7.761002,7.711519,-8.991358,6.064600
0.020000,12.567744,14.233004,3.408743,7.897278,6.813804,-44.885734,6.062037
0.020000,12.723847,14.197754,3.568777,8.001708,5.221463,-79.617066,6.060306
0.020000,12.881334,14.161978,3.730276,8.074953,3.662268,-77.959772,6.059458
0.020000,13.039640,14.125951,3.892630,8.117699,2.137310,-76.247879,6.059535
0.020000,13.198219,14.089953,4.055243,8.130648,0.647454,-74.492802,6.060564
0.020000,13.356512,14.054273,4.217508,8.113268,-0.869005,-75.822924,6.062564
0.020000,13.513711,14.019249,4.378561,8.052652,-3.030816,-108.090586,6.065531
0.020000,13.669047,13.985200,4.537585,7.951209,-5.072141,-102.066245,6.069445
0.020000,13.822035,13.952367,4.694057,7.823566,-6.382169,-65.501398,6.074275
0.020000,13.972197,13.920966,4.847466,7.670483,-7.654135,-63.598282,6.079978
0.020000,14.119063,13.891191,4.997321,7.492718,-8.888219,-61.704214,6.086496
0.020000,14.262173,13.863203,5.143141,7.291025,-10.084675,-59.822798,6.093762
0.020000,14.401093,13.837129,5.284488,7.067328,-11.184843,-55.008416,6.101695
0.020000,14.535657,13.813018,5.421194,6.835309,-11.600970,-20.806336,6.110222
0.020000,14.665925,13.790858,5.553334,6.607008,-11.415028,9.297081,6.119281
0.020000,14.791959,13.770621,5.680982,6.382381,-11.231365,9.183155,6.128811
0.020000,14.913813,13.752271,5.804210,6.161388,-11.049663,9.085119,6.138750
0.020000,15.031540,13.735759,5.923089,5.943983,-10.870232,8.971556,6.149040
0.020000,15.145191,13.721027,6.037691,5.730114,-10.693447,8.839220,6.159620
0.020000,15.254815,13.708008,6.148086,5.519721,-10.519626,8.691087,6.170434
0.020000,15.360459,13.696628,6.254341,5.312736,-10.349279,8.517316,6.181425
0.020000,15.462167,13.686808,6.356522,5.109075,-10.183045,8.311718,6.192537
0.020000,15.559985,13.678464,6.454695,4.908648,-10.021355,8.084495,6.203716
0.020000,15.653955,13.671506,6.548922,4.711349,-9.864944,7.820543,6.214910
0.020000,15.744118,13.665842,6.639263,4.517062,-9.714330,7.530734,6.226069
0.020000,15.830517,13.661379,6.725777,4.325665,-9.569885,7.222219,6.237145
0.020000,15.913189,13.658021,6.808517,4.137013,-9.432589,6.864836,6.248091
0.020000,15.992173,13.655672,6.887536,3.950974,-9.301965,6.531187,6.258866
0.020000,16.067507,13.654236,6.962884,3.767387,-9.179332,6.131631,6.269427
0.020000,16.139227,13.653618,7.034606,3.586099,-9.064421,5.745576,6.279735
0.020000,16.207366,13.653723,7.102745,3.406964,-8.956735,5.384305,0.006572
0.020000,16.271958,13.654459,7.167341,3.229809,-8.857751,4.949152,0.016272
0.020000,16.333034,13.655738,7.228431,3.054486,-8.766128,4.581159,0.025622
0.020000,16.390625,13.657472,7.286048,2.880844,-8.682111,4.200879,0.034593
0.020000,16.444758,13.659577,7.340222,2.708713,-8.606568,3.777158,0.043159
0.020000,16.495461,13.661973,7.390982,2.537968,-8.537258,3.465470,0.051297
0.020000,16.542758,13.664583,7.438351,2.368469,-8.474947,3.115561,0.058988
0.020000,16.586674,13.667336,7.482353,2.200072,-8.419843,2.755173,0.066212
0.020000,16.627229,13.670162,7.523006,2.032667,-8.370254,2.479451,0.072952
0.020000,16.664443,13.672998,7.560329,1.866140,-8.326325,2.196484,0.079196
0.020000,16.698336,13.675786,7.594336,1.700357,-8.289159,1.858302,0.084928
0.020000,16.728924,13.678470,7.625041,1.535249,-8.255412,1.687352,0.090140
0.020000,16.756221,13.681001,7.652455,1.370723,-8.226273,1.456919,0.094820
0.020000,16.780241,13.683336,7.676589,1.206677,-8.202334,1.196970,0.098961
0.020000,16.800997,13.685434,7.697450,1.043054,-8.181121,1.060640,0.102556
0.020000,16.818497,13.687262,7.715045,0.879780,-8.163726,0.869765,0.105599
0.020000,16.832751,13.688791,7.729381,0.716772,-8.150366,0.667983,0.108085
0.020000,16.843786,13.689999,7.740482,0.555060,-8.085596,3.238507,0.110015
0.020000,16.851859,13.690897,7.748605,0.406145,-7.445764,31.991579,0.111430
0.020000,16.857435,13.691524,7.754216,0.280565,-6.279006,58.337910,0.112408
0.020000,16.860977,13.691924,7.757781,0.178218,-5.117375,58.081551,0.113030
0.020000,16.862947,13.692148,7.759763,0.099134,-3.954194,58.159055,0.113376
0.020000,16.863806,13.692246,7.760628,0.043242,-2.794567,57.981334,0.113527
0.020000,16.864016,13.692270,7.760839,0.010548,-1.634727,57.992002,0.113564
0.020000,16.864016,13.692270,7.760839,0.000000,-0.527387,55.367018,0.113564
