dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,9.200782,14.420000,0.000299,0.029946,1.497296,74.864824,6.282336
0.020000,9.200659,14.420000,0.000422,0.006142,-1.190186,-134.374120,6.282469
0.020000,9.200383,14.420000,0.000699,0.013813,0.383564,78.687500,6.282769
0.020000,9.200948,14.420000,0.001263,0.028246,0.721616,16.902596,0.000117
0.020000,9.207668,14.420004,0.007984,0.336041,15.389774,733.407892,0.000950
0.020000,9.217349,14.420019,0.017665,0.484019,7.398892,-399.544104,0.002146
0.020000,9.230260,14.420057,0.030576,0.645565,8.077286,33.919733,0.003735
0.020000,9.246406,14.420133,0.046722,0.807301,8.086786,0.474967,0.005715
0.020000,9.265791,14.420267,0.066107,0.969262,8.098081,0.564777,0.008080
0.020000,9.288420,14.420481,0.088737,1.131508,8.112296,0.710740,0.010824
0.020000,9.314299,14.420801,0.114619,1.294077,8.128434,0.806871,0.013940
0.020000,9.343436,14.421258,0.143760,1.457036,8.147964,0.976531,0.017419
0.020000,9.375839,14.421885,0.176168,1.620426,8.169480,1.075775,0.021253
0.020000,9.411515,14.422718,0.211854,1.784303,8.193858,1.218939,0.025429
0.020000,9.450475,14.423797,0.250829,1.948727,8.221189,1.366527,0.029937
0.020000,9.492728,14.425164,0.293104,2.113757,8.251536,1.517361,0.034764
0.020000,9.538285,14.426866,0.338693,2.279456,8.284929,1.669643,0.039895
0.020000,9.587158,14.428950,0.387611,2.445874,8.320918,1.799470,0.045313
0.020000,9.639359,14.431466,0.439872,2.613087,8.360635,1.985846,0.051003
0.020000,9.694901,14.434467,0.495495,2.781151,8.403201,2.128285,0.056945
0.020000,9.753798,14.438008,0.554498,2.950136,8.449250,2.302440,0.063119
0.020000,9.816063,14.442144,0.616900,3.120103,8.498372,2.456084,0.069504
0.020000,9.881711,14.446932,0.682723,3.291124,8.551045,2.633684,0.076078
0.020000,9.950757,14.452430,0.751988,3.463259,8.606749,2.785173,0.082815
0.020000,10.023218,14.458697,0.824719,3.636578,8.665924,2.958748,0.089691
0.020000,10.099111,14.465791,0.900942,3.811143,8.728277,3.117667,0.096677
0.020000,10.178451,14.473770,0.980683,3.987017,8.793705,3.271424,0.103747
0.020000,10.261257,14.482692,1.063968,4.164264,8.862341,3.431762,0.110869
0.020000,10.347547,14.492612,1.150827,4.342944,8.933963,3.581137,0.118013
0.020000,10.437341,14.503586,1.241289,4.523112,9.008442,3.723932,0.125146
0.020000,10.530659,14.515664,1.335385,4.704827,9.085736,3.864703,0.132234
0.020000,10.627523,14.528897,1.433148,4.888140,9.165670,3.996671,0.139244
0.020000,10.727953,14.543329,1.534610,5.073103,9.248126,4.122809,0.146138
0.020000,10.831974,14.559001,1.639806,5.259764,9.333040,4.245731,0.152881
0.020000,10.939611,14.575952,1.748769,5.448167,9.420172,4.356584,0.159434
0.020000,11.050890,14.594211,1.861536,5.638360,9.509617,4.472235,0.165759
0.020000,11.165840,14.613804,1.978144,5.830382,9.601120,4.575166,0.171815
0.020000,11.284491,14.634750,2.098629,6.024275,9.694670,4.677482,0.177562
0.020000,11.406876,14.657059,2.223031,6.220081,9.790277,4.780372,0.182958
0.020000,11.533030,14.680733,2.351388,6.417841,9.887996,4.885937,0.187961
0.020000,11.662993,14.705768,2.483740,6.617596,9.987745,4.987476,0.192528
0.020000,11.796806,14.732145,2.620127,6.819389,10.089656,5.095536,0.196614
0.020000,11.934515,14.759837,2.760593,7.023268,10.193937,5.214033,0.200174
0.020000,12.076168,14.788806,2.905178,7.229280,10.300606,5.333444,0.203161
0.020000,12.221532,14.818940,3.053632,7.422691,9.670569,-31.501844,0.205525
0.020000,12.370078,14.850047,3.205401,7.588445,8.287693,-69.143784,0.207214
0.020000,12.521277,14.881921,3.359922,7.726067,6.881106,-70.329347,0.208190
0.020000,12.674589,14.914337,3.516624,7.835071,5.450209,-71.544878,0.208424
0.020000,12.829468,14.947061,3.674923,7.914958,3.994336,-72.793634,0.207898
0.020000,12.985338,14.979846,3.834203,7.964022,2.453194,-77.057079,0.206605
0.020000,13.141609,15.012442,3.993838,7.981730,0.885395,-78.389955,0.204549
0.020000,13.297705,15.044607,4.153213,7.968755,-0.648720,-76.705758,0.201748
0.020000,13.453036,15.076102,4.311705,7.924584,-2.208579,-77.992978,0.198228
0.020000,13.606999,15.106701,4.468679,7.848705,-3.793938,-79.267926,0.194027
0.020000,13.758976,15.136192,4.623491,7.740614,-5.404554,-80.530780,0.189195
0.020000,13.908360,15.164387,4.775512,7.601051,-6.978169,-78.680790,0.183790
0.020000,14.054833,15.191174,4.924415,7.445133,-7.795898,-40.886439,0.177869
0.020000,14.198355,15.216509,5.070156,7.287062,-7.903542,-5.382189,0.171478
0.020000,14.338883,15.240359,5.212694,7.126874,-8.009398,-5.292803,0.164664
0.020000,14.476371,15.262704,5.351986,6.964603,-8.113544,-5.207288,0.157471
0.020000,14.610773,15.283532,5.487991,6.800282,-8.216023,-5.123965,0.149944
0.020000,14.742039,15.302844,5.620670,6.633949,-8.316683,-5.032998,0.142128
0.020000,14.870120,15.320650,5.749983,6.465637,-8.415614,-4.946565,0.134064
0.020000,14.994966,15.336967,5.875891,6.295384,-8.512601,-4.849353,0.125795
0.020000,15.116526,15.351824,5.998355,6.123235,-8.607475,-4.743700,0.117363
0.020000,15.234750,15.365254,6.117340,5.949232,-8.700156,-4.634025,0.108808
0.020000,15.349589,15.377300,6.232809,5.773425,-8.790358,-4.510108,0.100168
0.020000,15.460992,15.388011,6.344726,5.595866,-8.877921,-4.378149,0.091482
0.020000,15.568913,15.397441,6.453058,5.416610,-8.962795,-4.243695,0.082787
0.020000,15.673305,15.405650,6.557772,5.235722,-9.044400,-4.080255,0.074119
0.020000,15.774124,15.412702,6.658838,5.053260,-9.123111,-3.935548,0.065511
0.020000,15.871327,15.418665,6.756224,4.869294,-9.198313,-3.760117,0.056997
0.020000,15.964875,15.423611,6.849901,4.683895,-9.269934,-3.581038,0.048607
0.020000,16.054728,15.427612,6.939844,4.497130,-9.338281,-3.417357,0.040371
0.020000,16.140853,15.430745,7.026026,4.309078,-9.402558,-3.213828,0.032317
0.020000,16.223216,15.433085,7.108422,4.119814,-9.463200,-3.032109,0.024471
0.020000,16.301787,15.434710,7.187010,3.929404,-9.520533,-2.866629,0.016859
0.020000,16.376539,15.435696,7.261769,3.737931,-9.573635,-2.655141,0.009504
0.020000,16.447447,15.436120,7.332678,3.545473,-9.622906,-2.463529,0.002426
0.020000,16.514489,15.436055,7.399720,3.352090,-9.669173,-2.313331,6.278832
0.020000,16.577645,15.435577,7.462877,3.157870,-9.710988,-2.090795,6.272369
0.020000,16.636896,15.434755,7.522135,2.962867,-9.750131,-1.957114,6.266238
0.020000,16.692229,15.433657,7.577478,2.767162,-9.785235,-1.755198,6.260457
0.020000,16.743628,15.432349,7.628894,2.570806,-9.817802,-1.628353,6.255038
0.020000,16.791084,15.430894,7.676372,2.373882,-9.846215,-1.420653,6.249994
0.020000,16.834584,15.429348,7.719900,2.176416,-9.873288,-1.353637,6.245336
