dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,9.083573,8.452000,0.000263,0.026316,1.315789,65.789474,6.280362
0.020000,9.083573,8.452000,0.001316,0.078947,2.631579,65.789474,6.280605
0.020000,9.083573,8.452000,0.003684,0.157895,3.947368,65.789474,6.281153
0.020000,9.083573,8.452000,0.007895,0.263158,5.263158,65.789474,6.282127
0.020000,9.085587,8.452000,0.014474,0.394737,6.578947,65.789474,0.000467
0.020000,9.095060,8.452015,0.023947,0.552632,7.894737,65.789474,0.002668
0.020000,9.107691,8.452068,0.036579,0.710526,7.894737,-0.000000,0.005615
0.020000,9.123482,8.452185,0.052368,0.868421,7.894737,0.000000,0.009318
0.020000,9.142428,8.452404,0.071316,1.026316,7.894737,0.000000,0.013789
0.020000,9.164531,8.452767,0.093421,1.184211,7.894737,-0.000000,0.019043
0.020000,9.189788,8.453325,0.118684,1.342105,7.894737,0.000000,0.025100
0.020000,9.218195,8.454135,0.147105,1.500000,7.894737,0.000000,0.031977
0.020000,9.249756,8.455267,0.178684,1.657895,7.894737,0.000000,0.039701
0.020000,9.284459,8.456794,0.213421,1.815789,7.894737,0.000000,0.048293
0.020000,9.322300,8.458803,0.251316,1.973684,7.894737,-0.000000,0.057783
0.020000,9.363268,8.461386,0.292368,2.131579,7.894737,0.000000,0.068199
0.020000,9.407360,8.464649,0.336579,2.289474,7.894737,-0.000000,0.079574
0.020000,9.454554,8.468706,0.383947,2.447368,7.894737,0.000000,0.091939
0.020000,9.504833,8.473680,0.434474,2.605263,7.894737,0.000000,0.105329
0.020000,9.558178,8.479709,0.488158,2.763158,7.894737,0.000000,0.119779
0.020000,9.614558,8.486938,0.545000,2.921053,7.894737,0.000000,0.135322
0.020000,9.673938,8.495526,0.605000,3.078947,7.894737,0.000000,0.151992
0.020000,9.736281,8.505644,0.668158,3.236842,7.894737,-0.000000,0.169822
0.020000,9.801533,8.517471,0.734474,3.394737,7.894737,0.000000,0.188837
0.020000,9.869634,8.531199,0.803947,3.552632,7.894737,0.000000,0.209061
0.020000,9.940518,8.547033,0.876579,3.710526,7.894737,-0.000000,0.230510
0.020000,10.014100,8.565182,0.952368,3.868421,7.894737,0.000000,0.253192
0.020000,10.090286,8.585868,1.031316,4.026316,7.894737,0.000000,0.277102
0.020000,10.168970,8.609317,1.113421,4.184211,7.894737,0.000000,0.302224
0.020000,10.250026,8.635762,1.198684,4.342105,7.894737,0.000000,0.328526
0.020000,10.333316,8.665434,1.287105,4.500000,7.894737,0.000000,0.355956
0.020000,10.418688,8.698566,1.378684,4.657895,7.894737,0.000000,0.384446
0.020000,10.505974,8.735385,1.473421,4.815789,7.894737,0.000000,0.413903
0.020000,10.594990,8.776110,1.571316,4.973684,7.894737,0.000000,0.444214
0.020000,10.685546,8.820949,1.672368,5.131579,7.894737,0.000000,0.475245
0.020000,10.777438,8.870090,1.776579,5.289474,7.894737,0.000000,0.506840
0.020000,10.870455,8.923706,1.883947,5.447368,7.894737,0.000000,0.538826
0.020000,10.964388,8.981943,1.994474,5.605263,7.894737,0.000000,0.571014
0.020000,11.058809,9.044775,2.107895,5.736842,6.578947,-65.789474,0.603133
0.020000,11.153105,9.111964,2.223684,5.842105,5.263158,-65.789474,0.634846
0.020000,11.246714,9.183192,2.341316,5.921053,3.947368,-65.789474,0.665841
0.020000,11.339129,9.258071,2.460263,5.973684,2.631579,-65.789474,0.695838
0.020000,11.429903,9.336148,2.580000,6.000000,1.315789,-65.789474,0.724602
0.020000,11.518646,9.416918,2.700000,6.000000,0.000000,-65.789474,0.751940
0.020000,11.605212,9.500018,2.820000,6.000000,0.000000,0.000000,0.777760
0.020000,11.689668,9.585261,2.940000,6.000000,0.000000,0.000000,0.802052
0.020000,11.772096,9.672468,3.060000,6.000000,0.000000,0.000000,0.824823
0.020000,11.852584,9.761468,3.180000,6.000000,0.000000,0.000000,0.846088
0.020000,11.931229,9.852102,3.300000,6.000000,0.000000,0.000000,0.865874
0.020000,12.008132,9.944218,3.420000,6.000000,0.000000,0.000000,0.884214
0.020000,12.083400,10.037677,3.540000,6.000000,0.000000,0.000000,0.901143
0.020000,12.157140,10.132345,3.660000,6.000000,0.000000,0.000000,0.916701
0.020000,12.229463,10.228101,3.780000,6.000000,0.000000,0.000000,0.930930
0.020000,12.300478,10.324831,3.900000,6.000000,0.000000,0.000000,0.943869
0.020000,12.370298,10.422427,4.020000,6.000000,0.000000,0.000000,0.955558
