dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,9.080749,7.452004,0.000263,0.026316,1.315789,65.789474,6.280362
0.020000,9.080992,7.452003,0.000507,0.012171,-0.707228,-101.150856,6.280605
0.020000,9.081540,7.452002,0.001054,0.027394,0.761152,73.418993,6.281153
0.020000,9.082515,7.452001,0.002029,0.048732,1.066870,15.285865,6.282127
0.020000,9.086054,7.452001,0.005569,0.176978,6.412341,267.273550,0.000467
0.020000,9.097728,7.452019,0.017242,0.583687,20.335436,696.154772,0.002668
0.020000,9.113306,7.452083,0.032820,0.778902,9.760740,-528.734784,0.005615
0.020000,9.132799,7.452229,0.052314,0.974688,9.789296,1.427771,0.009318
0.020000,9.156216,7.452499,0.075733,1.170930,9.812118,1.141130,0.013789
0.020000,9.183573,7.452948,0.103094,1.368043,9.855615,2.174828,0.019043
0.020000,9.214885,7.453640,0.134413,1.565958,9.895769,2.007684,0.025100
0.020000,9.250167,7.454647,0.169709,1.764811,9.942669,2.345007,0.031977
0.020000,9.289446,7.456055,0.209014,1.965224,10.020646,3.898872,0.039701
0.020000,9.332733,7.457960,0.252343,2.166453,10.061425,2.038935,0.048293
0.020000,9.380051,7.460472,0.299727,2.369211,10.137924,3.824971,0.057783
0.020000,9.431414,7.463711,0.351192,2.573265,10.202711,3.239314,0.068199
0.020000,9.486849,7.467814,0.406779,2.779354,10.304433,5.086107,0.079574
0.020000,9.546363,7.472929,0.466512,2.986651,10.364845,3.020598,0.091939
0.020000,9.609968,7.479222,0.530427,3.195758,10.455347,4.525100,0.105329
0.020000,9.677671,7.486874,0.598561,3.406703,10.547277,4.596534,0.119779
0.020000,9.749468,7.496080,0.670946,3.619246,10.627142,3.993221,0.135322
0.020000,9.825346,7.507055,0.747614,3.833371,10.706242,3.955005,0.151992
0.020000,9.905288,7.520029,0.828602,4.049407,10.801779,4.776843,0.169822
0.020000,9.989249,7.535248,0.913931,4.266476,10.853460,2.584073,0.188837
0.020000,10.077175,7.552973,1.003626,4.484721,10.912269,2.940426,0.209061
0.020000,10.168992,7.573483,1.097706,4.704019,10.964863,2.629717,0.230510
0.020000,10.264596,7.597064,1.196175,4.923434,10.970765,0.295077,0.253192
0.020000,10.363855,7.624015,1.299028,5.142671,10.961876,-0.444424,0.277102
0.020000,10.466615,7.654641,1.406254,5.361290,10.930941,-1.546744,0.302224
0.020000,10.572674,7.689243,1.517815,5.578046,10.837794,-4.657336,0.328526
0.020000,10.681803,7.728120,1.633663,5.792399,10.717668,-6.006322,0.355956
0.020000,10.793733,7.771559,1.753727,6.003184,10.539230,-8.921878,0.384446
0.020000,10.908159,7.819827,1.877917,6.209492,10.315419,-11.190599,0.413903
0.020000,11.024739,7.873162,2.006117,6.410000,10.025386,-14.501614,0.444214
0.020000,11.143102,7.931768,2.138195,6.603910,9.695471,-16.495737,0.475245
0.020000,11.262855,7.995808,2.273995,6.790022,9.305639,-19.491630,0.506840
0.020000,11.383584,8.065394,2.413343,6.967381,8.867942,-21.884869,0.538826
0.020000,11.504874,8.140590,2.556051,7.135422,8.402023,-23.295903,0.571014
0.020000,11.626035,8.221213,2.701585,7.276699,7.063855,-66.908420,0.603133
0.020000,11.746159,8.306801,2.849081,7.374800,4.905073,-107.939107,0.634846
0.020000,11.864434,8.396794,2.997701,7.430991,2.809533,-104.777012,0.665841
0.020000,11.980158,8.490554,3.146640,7.446966,0.798757,-100.538797,0.695838
0.020000,12.092741,8.587384,3.295136,7.424772,-1.109680,-95.421828,0.724602
0.020000,12.201703,8.686552,3.442469,7.366652,-2.906042,-89.818128,0.751940
0.020000,12.306896,8.787530,3.588285,7.290789,-3.793135,-44.354638,0.777760
0.020000,12.408452,8.890028,3.732574,7.214456,-3.816626,-1.174551,0.802052
0.020000,12.506523,8.993781,3.875341,7.138376,-3.804000,0.631314,0.824823
0.020000,12.601277,9.098551,4.016604,7.063128,-3.762430,2.078507,0.846088
0.020000,12.692891,9.204127,4.156388,6.989183,-3.697240,3.259470,0.865874
0.020000,12.781549,9.310320,4.294725,6.916863,-3.616010,4.061502,0.884214
0.020000,12.867437,9.416962,4.431653,6.846390,-3.523651,4.617968,0.901143
0.020000,12.950739,9.523904,4.567210,6.777860,-3.426487,4.858203,0.916701
0.020000,13.031638,9.631013,4.701437,6.711362,-3.324901,5.079283,0.930930
0.020000,13.110312,9.738171,4.834376,6.646926,-3.221807,5.154697,0.943869
0.020000,13.186934,9.845273,4.966063,6.584388,-3.126892,4.745789,0.955558
0.020000,13.261669,9.952225,5.096539,6.523800,-3.029377,4.875737,0.966034
0.020000,13.334679,10.058937,5.225837,6.464905,-2.944788,4.229458,0.975333
0.020000,13.406117,10.165333,5.353991,6.407678,-2.861323,4.173252,0.983487
0.020000,13.476129,10.271336,5.481028,6.351850,-2.791398,3.496213,0.990524
0.020000,13.544857,10.376878,5.606975,6.297341,-2.725473,3.296273,0.996471
0.020000,13.612435,10.481891,5.731853,6.243922,-2.670917,2.727777,1.001349
0.020000,13.678990,10.586312,5.855681,6.191402,-2.626020,2.244845,1.005177
0.020000,13.744646,10.690078,5.978474,6.139625,-2.588832,1.859443,1.007970
0.020000,13.809519,10.793126,6.100241,6.088374,-2.562550,1.314061,1.009737
0.020000,13.873721,10.895393,6.220990,6.037456,-2.545929,0.831091,1.010486
0.020000,13.937358,10.996815,6.340724,5.986687,-2.538427,0.375072,1.010220
