dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,9.197005,10.383996,0.000286,0.028571,1.428571,71.428571,0.002496
0.020000,9.197422,10.383997,0.000702,0.020822,-0.387458,-90.801455,0.002149
0.020000,9.198359,10.383999,0.001640,0.046872,1.302487,84.497218,0.001367
0.020000,9.200101,10.384000,0.003382,0.087121,2.012447,35.498037,6.283163
0.020000,9.209858,10.383989,0.013139,0.487831,20.035491,901.152166,6.280985
0.020000,9.223921,10.383936,0.027201,0.703133,10.765099,-463.519570,6.277837
0.020000,9.243094,10.383792,0.046375,0.958683,12.777534,100.621740,6.273527
0.020000,9.267792,10.383485,0.071075,1.234999,13.815754,51.910989,6.267943
0.020000,9.298056,10.382919,0.101344,1.513476,13.923876,5.406102,6.261053
0.020000,9.333926,10.381978,0.137226,1.794096,14.031007,5.356546,6.252817
0.020000,9.375450,10.380517,0.178777,2.077525,14.171434,7.021357,6.243191
0.020000,9.422685,10.378365,0.226061,2.364201,14.333820,8.119290,6.232122
0.020000,9.475683,10.375323,0.279145,2.654215,14.500671,8.342577,6.219550
0.020000,9.534504,10.371158,0.338114,2.948419,14.710198,10.476341,6.205410
0.020000,9.599194,10.365604,0.403042,3.246436,14.900857,9.532943,6.189634
0.020000,9.669806,10.358357,0.474025,3.549133,15.134836,11.698954,6.172149
0.020000,9.746365,10.349075,0.551144,3.855953,15.341016,10.308983,6.152882
0.020000,9.828885,10.337376,0.634489,4.167264,15.565540,11.226215,6.131760
0.020000,9.917348,10.322834,0.724139,4.482505,15.762070,9.826499,6.108716
0.020000,10.011700,10.304987,0.820165,4.801292,15.939340,8.863517,6.083693
0.020000,10.111833,10.283331,0.922613,5.122403,16.055568,5.811364,6.056649
0.020000,10.217582,10.257335,1.031511,5.444880,16.123842,3.413720,6.027564
0.020000,10.328702,10.226443,1.146844,5.766672,16.089614,-1.711386,5.996450
0.020000,10.444856,10.190096,1.268553,6.085413,15.937057,-7.627853,5.963355
0.020000,10.565614,10.147745,1.396521,6.398435,15.651075,-14.299132,5.928375
0.020000,10.690435,10.098876,1.530568,6.702361,15.196288,-22.739329,5.891663
0.020000,10.818680,10.043038,1.670442,6.993688,14.566362,-31.496292,5.853427
0.020000,10.949610,9.979867,1.815815,7.268619,13.746535,-40.991384,5.813942
0.020000,11.082413,9.909118,1.966288,7.523667,12.752420,-49.705724,5.773539
0.020000,11.216232,9.830678,2.121402,7.755680,11.600650,-57.588486,5.732602
0.020000,11.350198,9.744584,2.280647,7.962256,10.328802,-63.592422,5.691555
0.020000,11.483475,9.651016,2.443489,8.142129,8.993651,-66.757564,5.650843
0.020000,11.615299,9.550293,2.609389,8.295008,7.643923,-67.486399,5.610917
0.020000,11.745013,9.442846,2.777825,8.421787,6.338985,-65.246902,5.572212
0.020000,11.872090,9.329192,2.948311,8.524308,5.126050,-60.646708,5.535132
0.020000,11.996145,9.209906,3.120413,8.605101,4.039638,-54.320631,5.500040
0.020000,12.116943,9.085587,3.293755,8.667095,3.099673,-46.998250,5.467248
0.020000,12.234385,8.956840,3.468020,8.713244,2.307454,-39.610925,5.437022
0.020000,12.348496,8.824258,3.642946,8.746314,1.653503,-32.697577,5.409579
0.020000,12.459407,8.688413,3.818318,8.768562,1.112421,-27.054068,5.385099
0.020000,12.567335,8.549853,3.993952,8.781713,0.657571,-22.742515,5.363735
0.020000,12.672566,8.409109,4.169686,8.786703,0.249491,-20.404015,5.345621
0.020000,12.775437,8.266702,4.345362,8.783827,-0.143840,-19.666565,5.330889
0.020000,12.876320,8.123155,4.520814,8.772580,-0.562321,-20.924032,5.319679
0.020000,12.975616,7.979011,4.695848,8.751691,-1.044466,-24.107242,5.312150
0.020000,13.073734,7.834852,4.870231,8.719142,-1.627460,-29.149686,5.308498
0.020000,13.171092,7.691311,5.043674,8.672139,-2.350140,-36.134012,5.308962
0.020000,13.268096,7.549103,5.215815,8.607088,-3.252553,-45.120678,5.313844
0.020000,13.365130,7.409039,5.386207,8.519602,-4.374297,-56.087200,5.323517
0.020000,13.462538,7.272050,5.554298,8.404535,-5.753362,-68.953241,5.338440
0.020000,13.560454,7.139393,5.719178,8.243985,-8.027460,-113.704896,5.359133
0.020000,13.658783,7.012600,5.879631,8.022643,-11.067139,-151.983946,5.386133
