dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,9.200361,8.300000,0.000286,0.028571,1.428571,71.428571,0.000361
0.020000,9.200197,8.300000,0.000449,0.008184,-1.019366,-122.396889,0.000197
0.020000,9.201022,8.300000,0.001274,0.041221,1.651857,133.561186,6.283014
0.020000,9.204938,8.299998,0.005190,0.195804,7.729134,303.863822,6.282359
0.020000,9.211056,8.299990,0.011308,0.305892,5.504415,-111.235932,6.281334
0.020000,9.219863,8.299967,0.020115,0.440367,6.723750,60.966733,6.279856
0.020000,9.231846,8.299915,0.032098,0.599170,7.940118,60.818410,6.277839
0.020000,9.247246,8.299813,0.047498,0.769990,8.541014,30.044808,6.275239
0.020000,9.266056,8.299633,0.066309,0.940533,8.527147,-0.693358,6.272050
0.020000,9.288269,8.299344,0.088524,1.110738,8.510245,-0.845116,6.268264
0.020000,9.313876,8.298906,0.114135,1.280548,8.490509,-0.986784,6.263875
0.020000,9.342867,8.298273,0.143133,1.449902,8.467709,-1.139978,6.258873
0.020000,9.375230,8.297395,0.175508,1.618747,8.442254,-1.272762,6.253248
0.020000,9.410951,8.296214,0.211248,1.787028,8.414046,-1.410399,6.246989
0.020000,9.450014,8.294664,0.250342,1.954694,8.383275,-1.538545,6.240083
0.020000,9.492401,8.292676,0.292776,2.121699,8.350275,-1.650017,6.232517
0.020000,9.538093,8.290170,0.338536,2.288000,8.315047,-1.761399,6.224277
0.020000,9.587066,8.287063,0.387607,2.453559,8.277928,-1.855976,6.215348
0.020000,9.639294,8.283262,0.439974,2.618347,8.239414,-1.925681,6.205716
0.020000,9.694751,8.278669,0.495621,2.782342,8.199747,-1.983322,6.195363
0.020000,9.753405,8.273177,0.554532,2.945531,8.159472,-2.013753,6.184274
0.020000,9.815223,8.266674,0.616690,3.107917,8.119285,-2.009364,6.172432
0.020000,9.880165,8.259038,0.682080,3.269510,8.079638,-1.982371,6.159823
0.020000,9.948193,8.250141,0.750687,3.430342,8.041603,-1.901758,6.146430
0.020000,10.019261,8.239848,0.822496,3.590460,8.005897,-1.785269,6.132240
0.020000,10.093320,8.228015,0.897495,3.749933,7.973642,-1.612747,6.117239
0.020000,10.170319,8.214493,0.975672,3.908854,7.946082,-1.378018,6.101417
0.020000,10.250200,8.199124,1.057019,4.067341,7.924362,-1.086010,6.084765
0.020000,10.332905,8.181742,1.141530,4.225543,7.910055,-0.715321,6.067277
0.020000,10.418366,8.162177,1.229202,4.383634,7.904564,-0.274546,6.048951
0.020000,10.506516,8.140250,1.320039,4.541824,7.909519,0.247741,6.029789
0.020000,10.597282,8.115776,1.414046,4.700355,7.926531,0.850594,6.009798
0.020000,10.690584,8.088564,1.511236,4.859498,7.957156,1.531266,5.988989
0.020000,10.786342,8.058418,1.611627,5.019556,8.002912,2.287779,5.967382
0.020000,10.884469,8.025137,1.715244,5.180861,8.065234,3.116084,5.945002
0.020000,10.984875,7.988515,1.822119,5.343762,8.145038,3.990240,5.921879
0.020000,11.087463,7.948344,1.932292,5.508628,8.243312,4.913696,5.898055
0.020000,11.192134,7.904413,2.045809,5.675834,8.360290,5.848881,5.873574
0.020000,11.298784,7.856509,2.162724,5.845752,8.495911,6.781056,5.848492
0.020000,11.407305,7.804418,2.283098,6.018740,8.649413,7.675087,5.822870
0.020000,11.531248,7.742154,2.421803,6.935229,45.824463,1858.752528,5.814900
0.020000,11.663819,7.674656,2.570568,7.438238,25.150435,-1033.701423,5.809665
0.020000,11.799846,7.604523,2.723610,7.652098,10.692990,-722.872263,5.804707
0.020000,11.939355,7.531744,2.880961,7.867586,10.774419,4.071475,5.800059
0.020000,12.082378,7.456315,3.042656,8.084738,10.857573,4.157717,5.795753
0.020000,12.228706,7.378371,3.208448,8.289611,10.243638,-30.696753,5.791831
0.020000,12.377887,7.298196,3.377810,8.468054,8.922194,-66.072235,5.788335
0.020000,12.529474,7.216089,3.550205,8.619759,7.585242,-66.847568,5.785302
0.020000,12.683020,7.132366,3.725093,8.744402,6.232140,-67.655128,5.782762
0.020000,12.838080,7.047358,3.901926,8.841650,4.862399,-68.487047,5.780738
0.020000,12.994208,6.961407,4.080149,8.911164,3.475678,-69.336042,5.779247
0.020000,13.150957,6.874866,4.259201,8.952599,2.071773,-70.195271,5.778299
0.020000,13.308124,6.787954,4.438799,8.979886,1.364372,-35.370043,5.777896
0.020000,13.465758,6.700758,4.618942,9.007173,1.364306,-0.003263,5.778040
0.020000,13.623906,6.613363,4.799631,9.034459,1.364315,0.000420,5.778729
0.020000,13.782616,6.525857,4.980866,9.061747,1.364392,0.003848,5.779964
0.020000,13.941936,6.438328,5.162647,9.089037,1.364513,0.006060,5.781745
0.020000,14.101915,6.350865,5.344974,9.116330,1.364634,0.006026,5.784071
0.020000,14.262600,6.263557,5.527846,9.143623,1.364690,0.002834,5.786944
0.020000,14.414180,6.181401,5.700259,8.620656,-26.148354,-1375.652188,5.784012
0.020000,14.568235,6.096931,5.875953,8.784668,8.200568,1717.446078,5.779706
0.020000,14.724256,6.010767,6.054184,8.911575,6.345346,-92.761111,5.777937
0.020000,14.882446,5.923302,6.234944,9.038015,6.322032,-1.165696,5.778698
0.020000,15.043032,5.834936,6.418237,9.164650,6.331745,0.485635,5.781991
0.020000,15.206259,5.746086,6.604080,9.292133,6.374159,2.120713,5.787833
0.020000,15.372390,5.657186,6.792502,9.421076,6.447147,3.649434,5.796256
0.020000,15.541699,5.568694,6.983542,9.552022,6.547274,5.006330,5.807297
0.020000,15.714469,5.481097,7.177250,9.685397,6.668769,6.074756,5.821006
0.020000,15.890985,5.394920,7.373679,9.821465,6.803394,6.731260,5.837438
0.020000,16.071525,5.310728,7.572885,9.960274,6.940443,6.852411,5.856646
0.020000,16.256348,5.229136,7.774916,10.101583,7.065478,6.251751,5.878682
0.020000,16.445681,5.150808,7.979812,10.244795,7.160565,4.754351,5.903583
0.020000,16.639703,5.076464,8.187590,10.388864,7.203459,2.144695,5.931367
0.020000,16.838520,5.006873,8.398234,10.532245,7.169048,-1.720529,5.962021
0.020000,17.042149,4.942850,8.611691,10.672842,7.029852,-6.959784,5.995487
0.020000,17.250490,4.885236,8.827851,10.808001,6.757936,-13.595810,6.031659
0.020000,17.463305,4.834881,9.046543,10.934585,6.329210,-21.436316,6.070365
0.020000,17.680207,4.792611,9.267525,11.049110,5.726270,-30.146983,6.111362
0.020000,17.900649,4.759192,9.490486,11.148014,4.945186,-39.054209,6.154340
0.020000,18.123932,4.735288,9.715044,11.227941,3.996374,-47.440614,6.198917
0.020000,18.349228,4.721424,9.940767,11.286110,2.908403,-54.398529,6.244659
