dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,22.582665,10.362960,0.000300,0.030000,1.500000,75.000000,4.712507
0.020000,22.582665,10.362921,0.000339,0.001971,-1.401472,-145.073584,4.712464
0.020000,22.582665,10.362231,0.001029,0.034461,1.624512,151.299184,4.712367
0.020000,22.582664,10.357271,0.005989,0.248019,10.677917,452.670225,4.712193
0.020000,22.582662,10.349516,0.013744,0.387760,6.987030,-184.544334,4.711916
0.020000,22.582654,10.338339,0.024922,0.558868,8.555436,78.420291,4.711505
0.020000,22.582637,10.323417,0.039843,0.746067,9.359921,40.224286,4.710939
0.020000,22.582603,10.304736,0.058524,0.934047,9.399010,1.954411,4.710199
0.020000,22.582543,10.282276,0.080984,1.123008,9.448047,2.451873,4.709264
0.020000,22.582446,10.256013,0.107247,1.313151,9.507168,2.956047,4.708108
0.020000,22.582296,10.225920,0.137341,1.504682,9.576549,3.469068,4.706702
0.020000,22.582075,10.191965,0.171297,1.697811,9.656419,3.993493,4.705011
0.020000,22.581758,10.154111,0.209152,1.892752,9.747066,4.532347,4.702994
0.020000,22.581316,10.112319,0.250947,2.089729,9.848850,5.089172,4.700609
0.020000,22.580713,10.066543,0.296726,2.288973,9.962211,5.668049,4.697805
0.020000,22.579906,10.016735,0.346541,2.490727,10.087683,6.273602,4.694528
0.020000,22.578842,9.962841,0.400445,2.695245,10.225902,6.910966,4.690719
0.020000,22.577458,9.904801,0.458501,2.902798,10.377633,7.586543,4.686310
0.020000,22.575677,9.842553,0.520775,3.113674,10.543807,8.308727,4.681230
0.020000,22.573412,9.776028,0.587338,3.328177,10.725156,9.067444,4.675400
0.020000,22.570555,9.705153,0.658271,3.546637,10.923018,9.893091,4.668734
0.020000,22.566983,9.629850,0.733659,3.769407,11.138500,10.774097,4.661138
0.020000,22.562547,9.550035,0.813597,3.996868,11.373042,11.727118,4.652510
0.020000,22.557077,9.465624,0.898185,4.229419,11.627568,12.726276,4.642740
0.020000,22.550373,9.376526,0.987535,4.467483,11.903156,13.779385,4.631707
