dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,21.662665,10.362851,0.000265,0.026515,1.325758,66.287879,4.712508
0.020000,21.662665,10.362851,0.001326,0.079545,2.651515,66.287879,4.712471
0.020000,21.662665,10.362739,0.003712,0.159091,3.977273,66.287879,4.712385
0.020000,21.662664,10.358497,0.007955,0.265152,5.303030,66.287879,4.712231
0.020000,21.662663,10.351868,0.014583,0.397727,6.628788,66.287879,4.711987
0.020000,21.662657,10.342323,0.024129,0.556818,7.954545,66.287879,4.711627
0.020000,21.662644,10.329595,0.036856,0.715909,7.954545,0.000000,4.711132
0.020000,21.662619,10.313686,0.052765,0.875000,7.954545,-0.000000,4.710488
0.020000,21.662575,10.294595,0.071856,1.034091,7.954545,0.000000,4.709679
0.020000,21.662504,10.272323,0.094129,1.193182,7.954545,-0.000000,4.708684
0.020000,21.662394,10.246868,0.119583,1.352273,7.954545,0.000000,4.707481
0.020000,21.662233,10.218233,0.148220,1.511364,7.954545,-0.000000,4.706042
0.020000,21.662005,10.186415,0.180038,1.670455,7.954545,0.000000,4.704336
0.020000,21.661688,10.151417,0.215038,1.829545,7.954545,0.000000,4.702329
0.020000,21.661260,10.113237,0.253220,1.988636,7.954545,0.000000,4.699984
0.020000,21.660691,10.071878,0.294583,2.147727,7.954545,0.000000,4.697257
0.020000,21.659947,10.027338,0.339129,2.306818,7.954545,-0.000000,4.694103
0.020000,21.658989,9.979621,0.386856,2.465909,7.954545,0.000000,4.690470
0.020000,21.657769,9.928726,0.437765,2.625000,7.954545,0.000000,4.686304
0.020000,21.656231,9.874657,0.491856,2.784091,7.954545,0.000000,4.681545
0.020000,21.654311,9.817417,0.549129,2.943182,7.954545,0.000000,4.676126
0.020000,21.651936,9.757009,0.609583,3.102273,7.954545,-0.000000,4.669977
0.020000,21.649019,9.693440,0.673220,3.261364,7.954545,0.000000,4.663021
0.020000,21.645463,9.626716,0.740038,3.420455,7.954545,-0.000000,4.655175
0.020000,21.641156,9.556849,0.810038,3.579545,7.954545,0.000000,4.646348
