dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,20.662665,10.362733,0.000286,0.028571,1.428571,71.428571,4.712508
0.020000,20.662665,10.362773,0.000327,0.002040,-1.326588,-137.757995,4.712467
0.020000,20.662665,10.362466,0.000634,0.015386,0.667297,99.694265,4.712375
0.020000,20.662664,10.358060,0.005040,0.220279,10.244663,478.868298,4.712209
0.020000,20.662662,10.351181,0.011919,0.343958,6.183938,-203.036237,4.711945
0.020000,20.662656,10.341285,0.021815,0.494811,7.542688,67.937516,4.711556
0.020000,20.662641,10.327833,0.035267,0.672568,8.887817,67.256430,4.711007
0.020000,20.662611,10.310570,0.052530,0.863160,9.529589,32.088615,4.710270
0.020000,20.662556,10.289519,0.073581,1.052568,9.470402,-2.959378,4.709321
0.020000,20.662466,10.264709,0.098392,1.240522,9.397703,-3.634956,4.708132
0.020000,20.662325,10.236445,0.126655,1.413182,8.633026,-38.233838,4.706681
0.020000,20.662121,10.205307,0.157795,1.556969,7.189353,-72.183618,4.704963
0.020000,20.661840,10.171866,0.191236,1.672096,5.756332,-71.651058,4.702977
0.020000,20.661470,10.136691,0.226414,1.758862,4.338323,-70.900444,4.700725
0.020000,20.661001,10.100341,0.262767,1.817649,2.939314,-69.950454,4.698221
0.020000,20.660427,10.063367,0.299745,1.848895,1.562303,-68.850585,4.695485
0.020000,20.659747,10.026312,0.336806,1.853080,0.209274,-67.651418,4.692547
0.020000,20.658958,9.989443,0.373683,1.843853,-0.461333,-33.530358,4.689424
0.020000,20.658055,9.952764,0.410374,1.834545,-0.465418,-0.204265,4.686115
0.020000,20.657033,9.916275,0.446877,1.825151,-0.469695,-0.213819,4.682618
0.020000,20.655886,9.879980,0.483191,1.815670,-0.474080,-0.219260,4.678931
0.020000,20.654608,9.843880,0.519312,1.806096,-0.478668,-0.229411,4.675053
0.020000,20.653195,9.807980,0.555241,1.796425,-0.483562,-0.244679,4.670981
0.020000,20.651640,9.772280,0.590974,1.786655,-0.488508,-0.247330,4.666715
0.020000,20.649939,9.736785,0.626510,1.776785,-0.493501,-0.249662,4.662250
0.020000,20.648086,9.701498,0.661846,1.766812,-0.498638,-0.256823,4.657587
0.020000,20.646077,9.666421,0.696981,1.756730,-0.504098,-0.273028,4.652721
0.020000,20.643906,9.631557,0.731911,1.746540,-0.509496,-0.269886,4.647652
0.020000,20.641569,9.596911,0.766636,1.736246,-0.514691,-0.259728,4.642377
0.020000,20.639061,9.562486,0.801153,1.725836,-0.520494,-0.290183,4.636894
0.020000,20.636377,9.528284,0.835459,1.715316,-0.526002,-0.275374,4.631200
0.020000,20.633512,9.494311,0.869553,1.704690,-0.531305,-0.265146,4.625294
0.020000,20.630463,9.460570,0.903432,1.693948,-0.537122,-0.290879,4.619173
0.020000,20.627224,9.427064,0.937094,1.683100,-0.542380,-0.262889,4.612835
0.020000,20.623792,9.393798,0.970537,1.672144,-0.547811,-0.271547,4.606278
0.020000,20.620162,9.360775,1.003759,1.661081,-0.553139,-0.266397,4.599500
0.020000,20.616331,9.328000,1.036757,1.649921,-0.558024,-0.244246,4.592498
0.020000,20.612294,9.295476,1.069530,1.638657,-0.563194,-0.258515,4.585271
0.020000,20.608048,9.263208,1.102076,1.627307,-0.567501,-0.215353,4.577818
0.020000,20.603590,9.231200,1.134394,1.615863,-0.572216,-0.235733,4.570135
0.020000,20.598916,9.199455,1.166481,1.604345,-0.575886,-0.183507,4.562222
0.020000,20.594023,9.167978,1.198335,1.592748,-0.579834,-0.197409,4.554077
0.020000,20.588908,9.136773,1.229957,1.581093,-0.582772,-0.146869,4.545699
0.020000,20.583568,9.105843,1.261345,1.569380,-0.585640,-0.143408,4.537087
0.020000,20.578000,9.075192,1.292497,1.557626,-0.587703,-0.103181,4.528239
0.020000,20.572201,9.044824,1.323414,1.545842,-0.589187,-0.074156,4.519156
0.020000,20.566170,9.014742,1.354095,1.534039,-0.590166,-0.048987,4.509837
0.020000,20.559904,8.984949,1.384540,1.522238,-0.590033,0.006640,4.500282
0.020000,20.553401,8.955448,1.414749,1.510448,-0.589512,0.026093,4.490491
0.020000,20.546658,8.926242,1.444723,1.498690,-0.587882,0.081505,4.480465
0.020000,20.539675,8.897334,1.474462,1.486986,-0.585239,0.132131,4.470205
0.020000,20.532449,8.868726,1.503969,1.475349,-0.581825,0.170688,4.459712
0.020000,20.524979,8.840419,1.533245,1.463806,-0.577166,0.232976,4.448988
0.020000,20.517263,8.812415,1.562293,1.452379,-0.571354,0.290597,4.438036
0.020000,20.509301,8.784715,1.591115,1.441089,-0.564481,0.343617,4.426858
0.020000,20.501089,8.757319,1.619714,1.429964,-0.556259,0.411128,4.415457
0.020000,20.492629,8.730229,1.648095,1.419029,-0.546717,0.477076,4.403838
0.020000,20.483917,8.703444,1.676261,1.408311,-0.535901,0.540819,4.392004
0.020000,20.474954,8.676963,1.704218,1.397839,-0.523636,0.613238,4.379961
