dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,9.182737,10.199999,0.000286,0.028571,1.428571,71.428571,0.001263
0.020000,9.182927,10.199999,0.000475,0.009488,-0.954193,-119.138206,0.001073
0.020000,9.183354,10.200000,0.000902,0.021340,0.592618,77.340556,0.000646
0.020000,9.184787,10.200000,0.002335,0.071654,2.515688,96.153481,6.283073
0.020000,9.193113,10.199994,0.010662,0.416325,17.233548,735.893001,6.281890
0.020000,9.205102,10.199968,0.022650,0.599421,9.154792,-403.937779,6.280187
0.020000,9.221414,10.199901,0.038963,0.815645,10.811233,82.822044,6.277874
0.020000,9.242381,10.199758,0.059930,1.048357,11.635594,41.218044,6.274907
0.020000,9.267995,10.199500,0.085545,1.280756,11.619971,-0.781166,6.271292
0.020000,9.298249,10.199075,0.115802,1.512841,11.604239,-0.786603,6.267035
0.020000,9.333132,10.198427,0.150692,1.744475,11.581693,-1.127296,6.262146
0.020000,9.372633,10.197486,0.190204,1.975615,11.557013,-1.234001,6.256633
0.020000,9.416737,10.196180,0.234327,2.206141,11.526301,-1.535571,6.250510
0.020000,9.465424,10.194424,0.283046,2.435958,11.490839,-1.773106,6.243791
0.020000,9.518674,10.192131,0.336345,2.664966,11.450406,-2.021690,6.236492
0.020000,9.576460,10.189203,0.394206,2.893015,11.402437,-2.398407,6.228631
0.020000,9.638753,10.185538,0.456606,3.120009,11.349674,-2.638188,6.220231
0.020000,9.705517,10.181030,0.523522,3.345793,11.289218,-3.022775,6.211315
0.020000,9.776711,10.175567,0.594926,3.570195,11.220081,-3.456855,6.201910
0.020000,9.852291,10.169034,0.670787,3.793083,11.144440,-3.782032,6.192048
0.020000,9.932205,10.161315,0.751073,4.014298,11.060742,-4.184942,6.181762
0.020000,10.016396,10.152292,0.835746,4.233663,10.968224,-4.625878,6.171088
0.020000,10.104801,10.141845,0.924766,4.450996,10.866690,-5.076703,6.160068
0.020000,10.197351,10.129858,1.018089,4.666137,10.757012,-5.483896,6.148745
0.020000,10.293971,10.116217,1.115668,4.878920,10.639141,-5.893529,6.137166
0.020000,10.394582,10.100812,1.217451,5.089160,10.512045,-6.354812,6.125382
0.020000,10.499098,10.083538,1.323385,5.296709,10.377438,-6.730338,6.113447
0.020000,10.607430,10.064296,1.433413,5.501409,10.234973,-7.123292,6.101418
0.020000,10.719486,10.042997,1.547475,5.703111,10.085139,-7.491673,6.089355
0.020000,10.835170,10.019560,1.665509,5.901693,9.929083,-7.802804,6.077321
0.020000,10.954384,9.993917,1.787450,6.097029,9.766787,-8.114783,6.065379
0.020000,11.077029,9.966009,1.913230,6.289018,9.599477,-8.365544,6.053598
0.020000,11.203007,9.935792,2.042782,6.477570,9.427576,-8.595045,6.042046
0.020000,11.332221,9.903235,2.176034,6.662608,9.251909,-8.783325,6.030793
0.020000,11.464576,9.868325,2.312915,6.844066,9.072888,-8.951055,6.019911
0.020000,11.599980,9.831061,2.453353,7.021895,8.891444,-9.072179,6.009473
0.020000,11.738346,9.791462,2.597274,7.196044,8.707462,-9.199126,5.999551
0.020000,11.879592,9.749563,2.744603,7.366476,8.521597,-9.293252,5.990221
0.020000,12.023642,9.705418,2.895266,7.533150,8.333715,-9.394102,5.981558
0.020000,12.170428,9.659099,3.049187,7.696021,8.143556,-9.507951,5.973637
0.020000,12.319887,9.610698,3.206288,7.855044,7.951153,-9.620164,5.966536
0.020000,12.471966,9.560328,3.366491,8.010155,7.755547,-9.780269,5.960332
0.020000,12.626617,9.508122,3.529716,8.161277,7.556095,-9.972617,5.955107
0.020000,12.783804,9.454237,3.695883,8.308319,7.352072,-10.201155,5.950940
0.020000,12.943494,9.398849,3.864906,8.451157,7.141917,-10.507737,5.947917
