dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,9.184000,9.200000,0.000265,0.026515,1.325758,66.287879,0.001266
0.020000,9.184000,9.200000,0.001326,0.079545,2.651515,66.287879,0.001090
0.020000,9.184000,9.200000,0.003712,0.159091,3.977273,66.287879,0.000694
0.020000,9.184058,9.200000,0.007955,0.265152,5.303030,66.287879,6.283176
0.020000,9.190687,9.199996,0.014583,0.397727,6.628788,66.287879,6.282077
0.020000,9.200232,9.199978,0.024129,0.556818,7.954545,66.287879,6.280497
0.020000,9.212959,9.199931,0.036856,0.715909,7.954545,0.000000,6.278393
0.020000,9.228868,9.199833,0.052765,0.875000,7.954545,-0.000000,6.275769
0.020000,9.247958,9.199662,0.071856,1.034091,7.954545,0.000000,6.272629
0.020000,9.270229,9.199386,0.094129,1.193182,7.954545,-0.000000,6.268977
0.020000,9.295680,9.198971,0.119583,1.352273,7.954545,0.000000,6.264818
0.020000,9.324311,9.198379,0.148220,1.511364,7.954545,-0.000000,6.260161
0.020000,9.356118,9.197564,0.180038,1.670455,7.954545,0.000000,6.255012
0.020000,9.391102,9.196480,0.215038,1.829545,7.954545,0.000000,6.249381
0.020000,9.429257,9.195073,0.253220,1.988636,7.954545,0.000000,6.243278
0.020000,9.470582,9.193287,0.294583,2.147727,7.954545,0.000000,6.236715
0.020000,9.515072,9.191061,0.339129,2.306818,7.954545,-0.000000,6.229707
0.020000,9.562721,9.188333,0.386856,2.465909,7.954545,0.000000,6.222267
0.020000,9.613523,9.185033,0.437765,2.625000,7.954545,0.000000,6.214412
0.020000,9.667470,9.181093,0.491856,2.784091,7.954545,0.000000,6.206163
0.020000,9.724553,9.176440,0.549129,2.943182,7.954545,0.000000,6.197539
0.020000,9.784762,9.170997,0.609583,3.102273,7.954545,-0.000000,6.188563
0.020000,9.848085,9.164689,0.673220,3.261364,7.954545,0.000000,6.179260
0.020000,9.914508,9.157438,0.740038,3.420455,7.954545,-0.000000,6.169657
0.020000,9.984017,9.149164,0.810038,3.579545,7.954545,0.000000,6.159783
0.020000,10.056595,9.139787,0.883220,3.738636,7.954545,-0.000000,6.149671
0.020000,10.132225,9.129230,0.959583,3.897727,7.954545,0.000000,6.139352
0.020000,10.210888,9.117414,1.039129,4.056818,7.954545,0.000000,6.128864
0.020000,10.292563,9.104262,1.121856,4.215909,7.954545,0.000000,6.118244
0.020000,10.377228,9.089700,1.207765,4.375000,7.954545,0.000000,6.107531
0.020000,10.464862,9.073657,1.296856,4.534091,7.954545,0.000000,6.096768
0.020000,10.555442,9.056064,1.389129,4.693182,7.954545,0.000000,6.085997
0.020000,10.648944,9.036858,1.484583,4.852273,7.954545,0.000000,6.075264
0.020000,10.745345,9.015980,1.583220,5.011364,7.954545,0.000000,6.064615
0.020000,10.844622,8.993376,1.685038,5.170455,7.954545,0.000000,6.054099
0.020000,10.946752,8.969000,1.790038,5.329545,7.954545,-0.000000,6.043762
0.020000,11.051716,8.942810,1.898220,5.488636,7.954545,0.000000,6.033657
0.020000,11.159492,8.914774,2.009583,5.647727,7.954545,0.000000,6.023833
0.020000,11.270064,8.884867,2.124129,5.806818,7.954545,0.000000,6.014341
0.020000,11.383417,8.853074,2.241856,5.965909,7.954545,-0.000000,6.005234
0.020000,11.499538,8.819388,2.362765,6.125000,7.954545,0.000000,5.996564
0.020000,11.618420,8.783813,2.486856,6.284091,7.954545,0.000000,5.988384
0.020000,11.740057,8.746361,2.614129,6.443182,7.954545,-0.000000,5.980748
0.020000,11.864450,8.707059,2.744583,6.602273,7.954545,0.000000,5.973709
0.020000,11.991352,8.666026,2.877955,6.734848,6.628788,-66.287879,5.967335
0.020000,12.120272,8.623484,3.013712,6.840909,5.303030,-66.287879,5.961695
0.020000,12.250726,8.579675,3.151326,6.920455,3.977273,-66.287879,5.956849
0.020000,12.382239,8.534861,3.290265,6.973485,2.651515,-66.287879,5.952841
0.020000,12.514344,8.489318,3.430000,7.000000,1.325758,-66.287879,5.949702
0.020000,12.646576,8.443333,3.570000,7.000000,0.000000,-66.287879,5.947453
0.020000,12.778725,8.397109,3.710000,7.000000,0.000000,0.000000,5.946098
0.020000,12.910832,8.350765,3.850000,7.000000,0.000000,0.000000,5.945635
0.020000,13.042938,8.304418,3.990000,7.000000,0.000000,0.000000,5.946064
0.020000,13.175085,8.258188,4.130000,7.000000,0.000000,0.000000,5.947385
0.020000,13.307313,8.212191,4.270000,7.000000,0.000000,0.000000,5.949600
0.020000,13.439663,8.166546,4.410000,7.000000,0.000000,0.000000,5.952711
0.020000,13.572175,8.121373,4.550000,7.000000,0.000000,0.000000,5.956721
0.020000,13.704887,8.076792,4.690000,7.000000,0.000000,0.000000,5.961633
0.020000,13.837836,8.032923,4.830000,7.000000,0.000000,0.000000,5.967452
0.020000,13.971057,7.989889,4.970000,7.000000,0.000000,0.000000,5.974182
0.020000,14.104585,7.947813,5.110000,7.000000,0.000000,0.000000,5.981828
0.020000,14.238449,7.906822,5.250000,7.000000,0.000000,0.000000,5.990393
0.020000,14.372677,7.867040,5.390000,7.000000,0.000000,0.000000,5.999883
0.020000,14.507295,7.828597,5.530000,7.000000,0.000000,0.000000,6.010299
0.020000,14.642323,7.791620,5.670000,7.000000,0.000000,0.000000,6.021645
0.020000,14.777778,7.756241,5.810000,7.000000,0.000000,0.000000,6.033920
0.020000,14.913672,7.722590,5.950000,7.000000,0.000000,0.000000,6.047121
0.020000,15.050014,7.690799,6.090000,7.000000,0.000000,0.000000,6.061246
0.020000,15.186804,7.661000,6.230000,7.000000,0.000000,0.000000,6.076286
0.020000,15.324040,7.633324,6.370000,7.000000,0.000000,0.000000,6.092230
0.020000,15.461710,7.607900,6.510000,7.000000,0.000000,0.000000,6.109061
0.020000,15.599799,7.584857,6.650000,7.000000,0.000000,0.000000,6.126761
0.020000,15.738283,7.564321,6.790000,7.000000,0.000000,0.000000,6.145302
0.020000,15.877130,7.546412,6.930000,7.000000,0.000000,0.000000,6.164655
0.020000,16.016304,7.531248,7.070000,7.000000,0.000000,0.000000,6.184780
0.020000,16.155760,7.518939,7.210000,7.000000,0.000000,0.000000,6.205636
0.020000,16.295444,7.509589,7.350000,7.000000,0.000000,0.000000,6.227173
0.020000,16.435300,7.503294,7.490000,7.000000,0.000000,0.000000,6.249334
0.020000,16.575261,7.500140,7.630000,7.000000,0.000000,0.000000,6.272058
0.020000,16.712520,7.500145,7.770000,7.000000,0.000000,0.000000,0.008661
0.020000,16.852515,7.501235,7.910000,7.000000,0.000000,0.000000,0.006933
0.020000,16.992513,7.502092,8.050000,7.000000,0.000000,0.000000,0.005343
0.020000,17.132511,7.502737,8.190000,7.000000,0.000000,0.000000,0.003893
0.020000,17.272511,7.503189,8.330000,7.000000,0.000000,0.000000,0.002582
0.020000,17.412510,7.503467,8.470000,7.000000,0.000000,0.000000,0.001410
0.020000,17.552510,7.503590,8.610000,7.000000,0.000000,0.000000,0.000377
0.020000,17.692510,7.503579,8.750000,7.000000,0.000000,0.000000,6.282668
0.020000,17.832510,7.503452,8.890000,7.000000,0.000000,0.000000,6.281914
0.020000,17.972510,7.503229,9.030000,7.000000,0.000000,0.000000,6.281298
0.020000,18.112510,7.502930,9.170000,7.000000,0.000000,0.000000,6.280822
0.020000,18.252509,7.502574,9.310000,7.000000,0.000000,0.000000,6.280484
0.020000,18.392509,7.502180,9.450000,7.000000,0.000000,0.000000,6.280286
0.020000,18.532508,7.501769,9.590000,7.000000,0.000000,0.000000,6.280228
0.020000,18.672507,7.501358,9.730000,7.000000,0.000000,0.000000,6.280308
0.020000,18.812507,7.500969,9.870000,7.000000,0.000000,0.000000,6.280527
0.020000,18.952506,7.500621,10.010000,7.000000,0.000000,0.000000,6.280886
0.020000,19.092506,7.500332,10.150000,7.000000,0.000000,0.000000,6.281383
0.020000,19.232506,7.500123,10.290000,7.000000,0.000000,0.000000,6.282020
0.020000,19.372506,7.500012,10.430000,7.000000,0.000000,0.000000,6.282796
0.020000,19.506227,7.500068,10.570000,7.000000,0.000000,0.000000,0.001943
0.020000,19.646225,7.500657,10.710000,7.000000,0.000000,0.000000,0.006681
0.020000,19.786219,7.501998,10.850000,7.000000,0.000000,0.000000,0.012699
0.020000,19.926200,7.504275,10.990000,7.000000,0.000000,0.000000,0.020051
0.020000,20.066158,7.507677,11.130000,7.000000,0.000000,0.000000,0.028804
0.020000,20.206078,7.512407,11.270000,7.000000,0.000000,0.000000,0.039039
0.020000,20.345937,7.518679,11.410000,7.000000,0.000000,0.000000,0.050855
0.020000,20.485704,7.526719,11.550000,7.000000,0.000000,0.000000,0.064363
0.020000,20.625341,7.536772,11.690000,7.000000,0.000000,0.000000,0.079696
0.020000,20.764796,7.549101,11.830000,7.000000,0.000000,0.000000,0.097005
0.020000,20.904000,7.563990,11.970000,7.000000,0.000000,0.000000,0.116464
0.020000,21.042867,7.581744,12.110000,7.000000,0.000000,0.000000,0.138268
0.020000,21.181287,7.602696,12.250000,7.000000,0.000000,0.000000,0.162634
0.020000,21.319120,7.627205,12.390000,7.000000,0.000000,0.000000,0.189804
0.020000,21.456193,7.655656,12.530000,7.000000,0.000000,0.000000,0.220037
0.020000,21.592289,7.688461,12.670000,7.000000,0.000000,0.000000,0.253604
0.020000,21.727139,7.726055,12.810000,7.000000,0.000000,0.000000,0.290784
0.020000,21.860414,7.768890,12.950000,7.000000,0.000000,0.000000,0.331836
0.020000,21.991490,7.817335,13.089754,6.975357,-1.232174,-61.608720,0.376900
0.020000,22.119443,7.871592,13.228749,6.924198,-2.557932,-66.287879,0.425918
0.020000,22.243310,7.931723,13.366456,6.846524,-3.883690,-66.287879,0.478645
0.020000,22.362134,7.997615,13.502345,6.742335,-5.209447,-66.287879,0.534625
0.020000,22.475003,8.068949,13.635885,6.611631,-6.535205,-66.287879,0.593171
0.020000,22.581095,8.145181,13.766545,6.454412,-7.860962,-66.287879,0.653386
0.020000,22.679920,8.225704,13.894042,6.295321,-7.954545,-4.679159,0.714329
0.020000,22.771319,8.309941,14.018358,6.136230,-7.954545,0.000000,0.775123
0.020000,22.855265,8.397246,14.139492,5.977139,-7.954545,-0.000000,0.834923
0.020000,22.931853,8.486928,14.257443,5.818048,-7.954545,0.000000,0.892965
0.020000,23.001293,8.578289,14.372213,5.658957,-7.954545,-0.000000,0.948623
0.020000,23.063891,8.670649,14.483802,5.499866,-7.954545,0.000000,1.001430
0.020000,23.120029,8.763375,14.592208,5.340775,-7.954545,-0.000000,1.051083
0.020000,23.170137,8.855892,14.697433,5.181685,-7.954545,0.000000,1.097426
0.020000,23.214675,8.947694,14.799475,5.022594,-7.954545,-0.000000,1.140428
0.020000,23.254111,9.038342,14.898336,4.863503,-7.954545,-0.000000,1.180152
0.020000,23.288904,9.127465,14.994016,4.704412,-7.954545,0.000000,1.216728
0.020000,23.319498,9.214751,15.086513,4.545321,-7.954545,-0.000000,1.250326
0.020000,23.346312,9.299942,15.175828,4.386230,-7.954545,0.000000,1.281141
0.020000,23.369735,9.382828,15.261962,4.227139,-7.954545,-0.000000,1.309377
0.020000,23.390127,9.463231,15.344914,4.068048,-7.954545,-0.000000,1.335234
0.020000,23.407817,9.541012,15.424684,3.908957,-7.954545,0.000000,1.358908
0.020000,23.423106,9.616058,15.501272,3.749866,-7.954545,0.000000,1.380582
0.020000,23.436263,9.688274,15.574679,3.590775,-7.954545,-0.000000,1.400425
0.020000,23.447536,9.757587,15.644903,3.431685,-7.954545,0.000000,1.418591
0.020000,23.457145,9.823937,15.711946,3.272594,-7.954545,-0.000000,1.435222
0.020000,23.465292,9.887275,15.775807,3.113503,-7.954545,0.000000,1.450445
0.020000,23.472154,9.947564,15.836486,2.954412,-7.954545,-0.000000,1.464373
0.020000,23.477896,10.004774,15.893984,2.795321,-7.954545,0.000000,1.477109
0.020000,23.482660,10.058879,15.948299,2.636230,-7.954545,-0.000000,1.488744
0.020000,23.486580,10.109864,15.999433,2.477139,-7.954545,0.000000,1.499359
0.020000,23.489770,10.157709,16.047385,2.318048,-7.954545,0.000000,1.509025
0.020000,23.492336,10.202405,16.092155,2.158957,-7.954545,0.000000,1.517808
0.020000,23.494373,10.243944,16.133743,1.999866,-7.954545,0.000000,1.525764
0.020000,23.495964,10.282316,16.172149,1.840775,-7.954545,0.000000,1.532942
0.020000,23.497183,10.317520,16.207374,1.681685,-7.954545,-0.000000,1.539388
0.020000,23.498097,10.349550,16.239417,1.522594,-7.954545,0.000000,1.545140
0.020000,23.498764,10.378402,16.268278,1.363503,-7.954545,0.000000,1.550231
0.020000,23.499234,10.404077,16.293957,1.204412,-7.954545,0.000000,1.554691
0.020000,23.499553,10.426572,16.316454,1.045321,-7.954545,-0.000000,1.558546
0.020000,23.499758,10.445886,16.335770,0.886230,-7.954545,0.000000,1.561817
0.020000,23.499881,10.462019,16.351903,0.727139,-7.954545,-0.000000,1.564523
0.020000,23.499949,10.474973,16.364855,0.568048,-7.954545,0.000000,1.566677
0.020000,23.499981,10.484742,16.374625,0.408957,-7.954545,0.000000,1.568292
0.020000,23.499994,10.491577,16.381460,0.274510,-6.722371,61.608720,1.569417
0.020000,23.499999,10.495986,16.385871,0.166578,-5.396613,66.287879,1.570140
0.020000,23.500000,10.498505,16.388388,0.085160,-4.070856,66.287879,1.570552
0.020000,23.500000,10.499660,16.389542,0.030258,-2.745098,66.287879,1.570741
0.020000,23.500000,10.499981,16.389864,0.001872,-1.419341,66.287879,1.570793
0.020000,23.500000,10.500000,16.389882,0.000000,-0.093583,66.287879,1.570796
0.020000,23.500000,10.500000,16.389882,0.000000,0.000000,4.679159,1.570796
