dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,9.185263,8.200001,0.000286,0.028571,1.428571,71.428571,0.001263
0.020000,9.185073,8.200001,0.000475,0.009488,-0.954193,-119.138206,0.001073
0.020000,9.184646,8.200000,0.000902,0.021340,0.592618,77.340556,0.000646
0.020000,9.184563,8.200000,0.000986,0.004175,-0.858263,-72.544052,6.283073
0.020000,9.190522,8.199996,0.006945,0.297953,14.688910,777.358629,6.281890
0.020000,9.199105,8.199977,0.015528,0.429173,6.561018,-406.394604,6.280187
0.020000,9.210792,8.199929,0.027215,0.584338,7.758217,59.859965,6.277874
0.020000,9.225825,8.199827,0.042248,0.751660,8.366126,30.395420,6.274907
0.020000,9.244209,8.199641,0.060633,0.919230,8.378489,0.618171,6.271292
0.020000,9.265950,8.199336,0.082376,1.087169,8.396963,0.923715,6.267035
0.020000,9.291056,8.198869,0.107487,1.255515,8.417287,1.016205,6.262146
0.020000,9.319535,8.198191,0.135974,1.424384,8.443454,1.308348,6.256633
0.020000,9.351398,8.197247,0.167851,1.593851,8.473363,1.495423,6.250510
0.020000,9.386656,8.195976,0.203132,1.764025,8.508691,1.766417,6.243791
0.020000,9.425321,8.194311,0.241832,1.935027,8.550083,2.069579,6.236492
0.020000,9.467406,8.192178,0.283971,2.106957,8.596499,2.320809,6.228631
0.020000,9.512927,8.189500,0.329571,2.279972,8.650752,2.712647,6.220231
0.020000,9.561899,8.186193,0.378655,2.454202,8.711538,3.039291,6.211315
0.020000,9.614341,8.182169,0.431250,2.629780,8.778870,3.366628,6.201910
0.020000,9.670270,8.177335,0.487388,2.806880,8.855020,3.807487,6.192048
0.020000,9.729706,8.171593,0.547101,2.985669,8.939421,4.220065,6.181762
0.020000,9.792672,8.164844,0.610428,3.166308,9.031945,4.626199,6.171088
0.020000,9.859188,8.156983,0.677407,3.348962,9.132714,5.038435,6.160068
0.020000,9.929279,8.147905,0.748083,3.533811,9.242477,5.488146,6.148745
0.020000,10.002969,8.137501,0.822504,3.721034,9.361107,5.931495,6.137166
0.020000,10.080283,8.125662,0.900719,3.910784,9.487507,6.319993,6.125382
0.020000,10.161249,8.112280,0.982784,4.103233,9.622462,6.747743,6.113447
0.020000,10.245895,8.097244,1.068755,4.298533,9.764986,7.126239,6.101418
0.020000,10.334249,8.080449,1.158691,4.496824,9.914546,7.478008,6.089355
0.020000,10.426343,8.061791,1.252656,4.698243,10.070972,7.821261,6.077321
0.020000,10.522208,8.041169,1.350714,4.902904,10.233061,8.104475,6.065379
0.020000,10.621878,8.018488,1.452932,5.110915,10.400527,8.373273,6.053598
0.020000,10.725389,7.993658,1.559380,5.322363,10.572434,8.595361,6.042046
0.020000,10.832780,7.966600,1.670126,5.537328,10.748217,8.789139,6.030793
0.020000,10.944090,7.937239,1.785244,5.755869,10.927081,8.943207,6.019911
0.020000,11.059365,7.905513,1.904805,5.978046,11.108844,9.088135,6.009473
0.020000,11.178653,7.871373,2.028883,6.203900,11.292677,9.191672,5.999551
0.020000,11.302009,7.834779,2.157552,6.433474,11.478693,9.300823,5.990221
0.020000,11.429493,7.795710,2.290888,6.666807,11.666670,9.398814,5.981558
0.020000,11.561171,7.754157,2.428967,6.903940,11.856634,9.498200,5.973637
0.020000,11.697118,7.710130,2.571865,7.144925,12.049274,9.632025,5.966536
0.020000,11.837419,7.663660,2.719662,7.389821,12.244802,9.776371,5.960332
0.020000,11.982168,7.614796,2.872436,7.638703,12.444099,9.964857,5.955107
0.020000,12.131472,7.563612,3.030269,7.891671,12.648368,10.213486,5.950940
0.020000,12.285449,7.510205,3.193246,8.148838,12.858365,10.499821,5.947917
0.020000,12.443967,7.454795,3.361169,8.396159,12.366079,-24.614294,5.946126
0.020000,12.606628,7.397729,3.533550,8.619053,11.144687,-61.069615,5.945650
0.020000,12.773034,7.339389,3.709886,8.816785,9.886613,-62.903704,5.946557
0.020000,12.942779,7.280188,3.889658,8.988606,8.591009,-64.780195,5.948901
