dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,9.201634,18.749999,0.000256,0.025641,1.282051,64.102564,6.281552
0.020000,9.201221,18.749999,0.000669,0.020621,-0.250979,-76.651519,6.281964
0.020000,9.200294,18.750000,0.001596,0.046382,1.288047,76.951307,6.282892
0.020000,9.202017,18.750001,0.003320,0.086190,1.990362,35.115771,0.001355
0.020000,9.205853,18.750012,0.007156,0.191793,5.280154,164.489576,0.003929
0.020000,9.211379,18.750043,0.012682,0.276309,4.225811,-52.717163,0.007634
0.020000,9.218752,18.750118,0.020056,0.368662,4.617653,19.592107,0.012568
0.020000,9.227977,18.750262,0.029281,0.461279,4.630864,0.660546,0.018727
0.020000,9.239059,18.750511,0.040367,0.554280,4.650043,0.958972,0.026103
0.020000,9.252010,18.750905,0.053323,0.647818,4.676885,1.342066,0.034685
0.020000,9.266840,18.751492,0.068165,0.742088,4.713511,1.831339,0.044459
0.020000,9.283566,18.752328,0.084912,0.837355,4.763338,2.491352,0.055404
0.020000,9.302209,18.753475,0.103590,0.933895,4.826991,3.182608,0.067495
0.020000,9.322638,18.754991,0.124075,1.024252,4.517860,-15.456530,0.080600
0.020000,9.344568,18.756916,0.146090,1.100753,3.825082,-34.638876,0.094482
0.020000,9.367716,18.759279,0.169358,1.163378,3.131228,-34.692700,0.108906
0.020000,9.391791,18.762091,0.193597,1.211956,2.428881,-35.117374,0.123641
0.020000,9.416501,18.765349,0.218520,1.246163,1.710373,-35.925394,0.138461
0.020000,9.441543,18.769027,0.243831,1.265561,0.969913,-37.023016,0.153150
0.020000,9.466770,18.773109,0.269386,1.277768,0.610345,-17.978378,0.167594
0.020000,9.492192,18.777596,0.295202,1.290758,0.649493,1.957415,0.181779
0.020000,9.517818,18.782492,0.321291,1.304465,0.685334,1.792024,0.195689
0.020000,9.543656,18.787798,0.347668,1.318839,0.718687,1.667676,0.209312
0.020000,9.569713,18.793516,0.374344,1.333832,0.749666,1.548940,0.222636
0.020000,9.595995,18.799647,0.401332,1.349379,0.777376,1.385495,0.235648
0.020000,9.622507,18.806192,0.428641,1.365432,0.802624,1.262379,0.248339
0.020000,9.649255,18.813152,0.456279,1.381938,0.825314,1.134520,0.260700
0.020000,9.676243,18.820526,0.484256,1.398842,0.845209,0.994749,0.272723
0.020000,9.703472,18.828315,0.512578,1.416095,0.862647,0.871888,0.284401
0.020000,9.730947,18.836517,0.541251,1.433650,0.877740,0.754645,0.295728
0.020000,9.758669,18.845131,0.570280,1.451461,0.890529,0.639468,0.306698
0.020000,9.786640,18.854154,0.599670,1.469484,0.901147,0.530902,0.317309
0.020000,9.814860,18.863583,0.629424,1.487680,0.909810,0.433131,0.327555
0.020000,9.843330,18.873415,0.659544,1.506011,0.916575,0.338249,0.337434
0.020000,9.872051,18.883647,0.690033,1.524445,0.921673,0.254904,0.346945
0.020000,9.901022,18.894274,0.720892,1.542950,0.925252,0.178962,0.356086
0.020000,9.930245,18.905290,0.752122,1.561498,0.927394,0.107096,0.364856
0.020000,9.959718,18.916691,0.783723,1.580062,0.928236,0.042117,0.373255
0.020000,9.989441,18.928470,0.815695,1.598625,0.928146,-0.004523,0.381282
0.020000,10.019415,18.940622,0.848039,1.617166,0.927018,-0.056400,0.388939
0.020000,10.049639,18.953138,0.880752,1.635664,0.924900,-0.105898,0.396226
0.020000,10.080114,18.966012,0.913834,1.654112,0.922396,-0.125177,0.403143
0.020000,10.110838,18.979237,0.947284,1.672495,0.919189,-0.160380,0.409693
0.020000,10.141813,18.992804,0.981100,1.690802,0.915343,-0.192267,0.415877
0.020000,10.173040,19.006704,1.015281,1.709031,0.911456,-0.194371,0.421697
0.020000,10.204518,19.020930,1.049824,1.727176,0.907206,-0.212486,0.427153
0.020000,10.236249,19.035473,1.084729,1.745227,0.902576,-0.231535,0.432248
0.020000,10.268234,19.050322,1.119993,1.763192,0.898246,-0.216492,0.436985
0.020000,10.300474,19.065469,1.155614,1.781066,0.893713,-0.226656,0.441363
0.020000,10.332972,19.080904,1.191591,1.798849,0.889140,-0.228610,0.445386
0.020000,10.365729,19.096617,1.227922,1.816549,0.885004,-0.206802,0.449055
0.020000,10.398749,19.112597,1.264605,1.834165,0.880800,-0.210238,0.452372
