dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,9.200000,17.750000,0.000286,0.028571,1.428571,71.428571,6.281563
0.020000,9.200000,17.750000,0.001429,0.085714,2.857143,71.428571,6.282023
0.020000,9.200000,17.750000,0.004000,0.171429,4.285714,71.428571,6.283057
0.020000,9.204251,17.750004,0.008571,0.285714,5.714286,71.428571,0.001708
0.020000,9.211394,17.750026,0.015714,0.428571,7.142857,71.428571,0.004576
0.020000,9.221679,17.750094,0.026000,0.600000,8.571429,71.428571,0.008703
0.020000,9.235679,17.750256,0.040000,0.800000,10.000000,71.428571,0.014314
0.020000,9.253676,17.750578,0.058000,1.000000,10.000000,-0.000000,0.021516
0.020000,9.275668,17.751148,0.080000,1.200000,10.000000,0.000000,0.030295
0.020000,9.301652,17.752070,0.106000,1.400000,10.000000,-0.000000,0.040635
0.020000,9.331619,17.753467,0.136000,1.600000,10.000000,0.000000,0.052511
0.020000,9.365559,17.755479,0.170000,1.800000,10.000000,-0.000000,0.065888
0.020000,9.403457,17.758262,0.208000,2.000000,10.000000,0.000000,0.080719
0.020000,9.445291,17.761989,0.250000,2.200000,10.000000,-0.000000,0.096946
0.020000,9.491033,17.766844,0.296000,2.400000,10.000000,0.000000,0.114493
0.020000,9.540649,17.773023,0.346000,2.600000,10.000000,-0.000000,0.133266
0.020000,9.594095,17.780732,0.400000,2.800000,10.000000,0.000000,0.153150
0.020000,9.651319,17.790179,0.458000,3.000000,10.000000,0.000000,0.174010
0.020000,9.712261,17.801578,0.520000,3.200000,10.000000,-0.000000,0.195689
0.020000,9.776852,17.815137,0.586000,3.400000,10.000000,0.000000,0.218007
0.020000,9.845016,17.831059,0.656000,3.600000,10.000000,0.000000,0.240763
0.020000,9.916670,17.849534,0.730000,3.800000,10.000000,0.000000,0.263738
0.020000,9.991731,17.870739,0.808000,4.000000,10.000000,0.000000,0.286695
0.020000,10.070111,17.894827,0.890000,4.200000,10.000000,0.000000,0.309385
0.020000,10.151727,17.921929,0.976000,4.400000,10.000000,-0.000000,0.331551
0.020000,10.236501,17.952146,1.066000,4.600000,10.000000,0.000000,0.352929
0.020000,10.324366,17.985546,1.160000,4.800000,10.000000,-0.000000,0.373255
0.020000,10.415266,18.022163,1.258000,5.000000,10.000000,0.000000,0.392264
0.020000,10.509166,18.061994,1.360000,5.200000,10.000000,-0.000000,0.409693
0.020000,10.606052,18.104994,1.466000,5.400000,10.000000,0.000000,0.425284
0.020000,10.705933,18.151075,1.576000,5.600000,10.000000,-0.000000,0.438779
0.020000,10.808851,18.200104,1.690000,5.800000,10.000000,0.000000,0.449917
0.020000,10.914875,18.251900,1.808000,6.000000,10.000000,-0.000000,0.458436
0.020000,11.024111,18.306227,1.930000,6.200000,10.000000,-0.000000,0.464060
0.020000,11.136700,18.362792,2.056000,6.400000,10.000000,0.000000,0.466500
0.020000,11.252823,18.421235,2.186000,6.600000,10.000000,0.000000,0.465443
0.020000,11.372696,18.481122,2.320000,6.800000,10.000000,-0.000000,0.460547
0.020000,11.496574,18.541934,2.458000,7.000000,10.000000,0.000000,0.451436
0.020000,11.624748,18.603050,2.600000,7.200000,10.000000,-0.000000,0.437696
0.020000,11.757535,18.663738,2.746000,7.400000,10.000000,0.000000,0.418873
0.020000,11.895271,18.723130,2.896000,7.600000,10.000000,0.000000,0.394489
0.020000,12.038296,18.780211,3.050000,7.800000,10.000000,-0.000000,0.364056
0.020000,12.186920,18.833802,3.208000,8.000000,10.000000,0.000000,0.327122
0.020000,12.341396,18.882557,3.370000,8.200000,10.000000,0.000000,0.283329
0.020000,12.501867,18.924971,3.536000,8.400000,10.000000,-0.000000,0.232515
0.020000,12.668034,18.959375,3.705714,8.571429,8.571429,-71.428571,0.174920
0.020000,12.839085,18.984091,3.878571,8.714286,7.142857,-71.428571,0.111349
0.020000,13.013953,18.997667,4.054000,8.828571,5.714286,-71.428571,0.043126
0.020000,13.186057,19.000000,4.231429,8.914286,4.285714,-71.428571,0.000000
0.020000,13.364914,19.000000,4.410286,8.971429,2.857143,-71.428571,0.000000
0.020000,13.544628,19.000000,4.590000,9.000000,1.428571,-71.428571,0.000000
0.020000,13.724628,19.000000,4.770000,9.000000,0.000000,-71.428571,0.000000
0.020000,13.904628,19.000000,4.950000,9.000000,0.000000,0.000000,0.000000
0.020000,14.084628,19.000000,5.130000,9.000000,0.000000,0.000000,0.000000
0.020000,14.264628,19.000000,5.310000,9.000000,0.000000,0.000000,0.000000
0.020000,14.444628,19.000000,5.490000,9.000000,0.000000,0.000000,0.000000
0.020000,14.624628,19.000000,5.670000,9.000000,0.000000,0.000000,0.000000
0.020000,14.804628,19.000000,5.850000,9.000000,0.000000,0.000000,0.000000
0.020000,14.984628,19.000000,6.030000,9.000000,0.000000,0.000000,0.000000
0.020000,15.164628,19.000000,6.210000,9.000000,0.000000,0.000000,0.000000
0.020000,15.344628,19.000000,6.390000,9.000000,0.000000,0.000000,0.000000
0.020000,15.524628,19.000000,6.570000,9.000000,0.000000,0.000000,0.000000
0.020000,15.704628,19.000000,6.750000,9.000000,0.000000,0.000000,0.000000
0.020000,15.884628,19.000000,6.930000,9.000000,0.000000,0.000000,0.000000
0.020000,16.064628,19.000000,7.110000,9.000000,0.000000,0.000000,0.000000
0.020000,16.244628,19.000000,7.290000,9.000000,0.000000,0.000000,0.000000
0.020000,16.424628,19.000000,7.470000,9.000000,0.000000,0.000000,0.000000
0.020000,16.604628,19.000000,7.650000,9.000000,0.000000,0.000000,0.000000
0.020000,16.784628,19.000000,7.830000,9.000000,0.000000,0.000000,0.000000
0.020000,16.964628,19.000000,8.010000,9.000000,0.000000,0.000000,0.000000
0.020000,17.144628,19.000000,8.190000,9.000000,0.000000,0.000000,0.000000
0.020000,17.324628,19.000000,8.370000,9.000000,0.000000,0.000000,0.000000
0.020000,17.504628,19.000000,8.550000,9.000000,0.000000,0.000000,0.000000
0.020000,17.684628,19.000000,8.730000,9.000000,0.000000,0.000000,0.000000
0.020000,17.864628,19.000000,8.910000,9.000000,0.000000,0.000000,0.000000
0.020000,18.044628,19.000000,9.090000,9.000000,0.000000,0.000000,0.000000
0.020000,18.224628,19.000000,9.270000,9.000000,0.000000,0.000000,0.000000
0.020000,18.404598,19.000000,9.449970,8.996975,-0.151231,-7.561543,0.000000
0.020000,18.579686,19.001222,9.629593,8.965379,-1.579802,-71.428571,0.013747
0.020000,18.758361,19.004540,9.808299,8.905212,-3.008374,-71.428571,0.022351
0.020000,18.935526,19.008813,9.985516,8.816473,-4.436945,-71.428571,0.024897
0.020000,19.110633,19.012973,10.160672,8.699163,-5.865517,-71.428571,0.021654
0.020000,19.283130,19.016023,10.333197,8.553281,-7.294088,-71.428571,0.012742
0.020000,19.452446,19.017031,10.502518,8.378828,-8.722659,-71.428571,6.281340
0.020000,19.618009,19.015126,10.668094,8.178828,-10.000000,-63.867029,6.260965
0.020000,19.779483,19.009496,10.829671,7.978828,-10.000000,0.000000,6.234558
0.020000,19.936726,18.999352,10.987248,7.778828,-10.000000,-0.000000,6.201722
0.020000,20.089515,18.983921,11.140824,7.578828,-10.000000,0.000000,6.161955
0.020000,20.237527,18.962442,11.290401,7.378828,-10.000000,-0.000000,6.114701
0.020000,20.380318,18.934194,11.435977,7.178828,-10.000000,0.000000,6.059425
0.020000,20.517303,18.898524,11.577554,6.978828,-10.000000,-0.000000,5.995756
0.020000,20.647753,18.854916,11.715130,6.778828,-10.000000,0.000000,5.923670
0.020000,20.770821,18.803076,11.848707,6.578828,-10.000000,0.000000,5.843724
0.020000,20.885599,18.743028,11.978283,6.378828,-10.000000,-0.000000,5.757251
0.020000,20.991227,18.675196,12.103860,6.178828,-10.000000,0.000000,5.666420
0.020000,21.087036,18.600423,12.225437,5.978828,-10.000000,0.000000,5.574037
0.020000,21.172667,18.519911,12.343013,5.778828,-10.000000,-0.000000,5.483112
0.020000,21.248142,18.435088,12.456590,5.578828,-10.000000,0.000000,5.396330
0.020000,21.313850,18.347437,12.566166,5.378828,-10.000000,-0.000000,5.315658
0.020000,21.370467,18.258353,12.671743,5.178828,-10.000000,0.000000,5.242210
0.020000,21.418842,18.169056,12.773319,4.978828,-10.000000,-0.000000,5.176341
0.020000,21.459895,18.080551,12.870896,4.778828,-10.000000,-0.000000,5.117856
0.020000,21.494539,17.993636,12.964472,4.578828,-10.000000,0.000000,5.066237
0.020000,21.523633,17.908923,13.054049,4.378828,-10.000000,0.000000,5.020813
0.020000,21.547953,17.826882,13.139626,4.178828,-10.000000,-0.000000,4.980876
0.020000,21.568189,17.747859,13.221202,3.978828,-10.000000,0.000000,4.945750
0.020000,21.584944,17.672117,13.298779,3.778828,-10.000000,0.000000,4.914819
0.020000,21.598740,17.599848,13.372355,3.578828,-10.000000,-0.000000,4.887543
0.020000,21.610029,17.531195,13.441932,3.378828,-10.000000,0.000000,4.863455
