dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,9.198370,16.750001,0.000265,0.026515,1.325758,66.287879,6.281555
0.020000,9.198796,16.750001,0.000692,0.021324,-0.259541,-79.264925,6.281982
0.020000,9.199756,16.750000,0.001651,0.047963,1.331922,79.573171,6.282941
0.020000,9.205095,16.750004,0.006990,0.266950,10.949348,480.871276,0.001460
0.020000,9.214386,16.750030,0.016281,0.464552,9.880116,-53.461615,0.004122
0.020000,9.227761,16.750110,0.029657,0.668807,10.212729,16.630644,0.007953
0.020000,9.245590,16.750298,0.047486,0.891468,11.133062,46.016678,0.013055
0.020000,9.267864,16.750659,0.069763,1.113841,11.118641,-0.721071,0.019423
0.020000,9.294573,16.751280,0.096479,1.335811,11.098514,-1.006323,0.027048
0.020000,9.325701,16.752261,0.127623,1.557178,11.068353,-1.508071,0.035919
0.020000,9.361226,16.753717,0.163178,1.777762,11.029212,-1.957024,0.046020
0.020000,9.401118,16.755780,0.203124,1.997264,10.975101,-2.705584,0.057329
0.020000,9.445335,16.758595,0.247430,2.215333,10.903429,-3.583561,0.069818
0.020000,9.493825,16.762319,0.296063,2.431631,10.814927,-4.425136,0.083451
0.020000,9.546520,16.767118,0.348976,2.645636,10.700227,-5.734969,0.098182
0.020000,9.603336,16.773168,0.406113,2.856852,10.560790,-6.971860,0.113957
0.020000,9.664171,16.780649,0.467406,3.064688,10.391789,-8.450071,0.130706
0.020000,9.728906,16.789741,0.532777,3.268515,10.191391,-10.019903,0.148349
0.020000,9.797399,16.800626,0.602129,3.467631,9.955766,-11.781216,0.166794
0.020000,9.869490,16.813476,0.675356,3.661350,9.685968,-13.489918,0.185931
0.020000,9.944998,16.828454,0.752336,3.848966,9.380801,-15.258339,0.205639
0.020000,10.023725,16.845708,0.832931,4.029789,9.041162,-16.981952,0.225782
0.020000,10.105458,16.865367,0.916995,4.203191,8.670079,-18.554178,0.246211
0.020000,10.189970,16.887537,1.004367,4.368575,8.269231,-20.042404,0.266766
0.020000,10.277027,16.912297,1.094876,4.525467,7.844576,-21.232741,0.287277
0.020000,10.366391,16.939695,1.188345,4.673472,7.400260,-22.215761,0.307566
0.020000,10.457823,16.969751,1.284592,4.812311,6.941936,-22.916238,0.327450
0.020000,10.551094,17.002450,1.383428,4.941808,6.474833,-23.355118,0.346742
0.020000,10.645980,17.037745,1.484666,5.061890,6.004117,-23.535812,0.365254
0.020000,10.742275,17.075554,1.588117,5.172562,5.533607,-23.525530,0.382798
0.020000,10.839787,17.115764,1.693595,5.273883,5.066049,-23.377853,0.399186
0.020000,10.938345,17.158232,1.800913,5.365941,4.602884,-23.158297,0.414233
0.020000,11.037799,17.202782,1.909890,5.448807,4.143327,-22.977834,0.427755
0.020000,11.138018,17.249210,2.020340,5.522516,3.685435,-22.894578,0.439570
0.020000,11.238890,17.297279,2.132080,5.587013,3.224842,-23.029653,0.449492
0.020000,11.340322,17.346728,2.244923,5.642136,2.756155,-23.434355,0.457335
0.020000,11.442233,17.397260,2.358674,5.687573,2.271836,-24.215947,0.462905
0.020000,11.544554,17.448551,2.473131,5.722847,1.763736,-25.405021,0.465998
0.020000,11.647221,17.500243,2.588077,5.747299,1.222594,-27.057072,0.466399
0.020000,11.750171,17.551942,2.703279,5.760079,0.639007,-29.179370,0.463873
0.020000,11.853332,17.603220,2.818482,5.760163,0.004198,-31.740458,0.458168
0.020000,11.956624,17.653612,2.933410,5.746387,-0.688816,-34.650693,0.449005
0.020000,12.059942,17.702616,3.047760,5.717527,-1.442988,-37.708594,0.436083
0.020000,12.163159,17.749697,3.161209,5.672426,-2.255050,-40.603115,0.419079
0.020000,12.265918,17.794212,3.273195,5.599300,-3.656313,-70.063139,0.397696
0.020000,12.367657,17.835456,3.382976,5.489060,-5.511996,-92.784126,0.371722
0.020000,12.467842,17.872806,3.489896,5.346016,-7.152188,-82.009602,0.341033
0.020000,12.565983,17.905746,3.593418,5.176099,-8.495866,-67.183938,0.305621
0.020000,12.661669,17.933897,3.693160,4.987062,-9.451851,-47.799249,0.265634
0.020000,12.754599,17.957034,3.788927,4.788352,-9.935478,-24.181322,0.221409
0.020000,12.844786,17.975114,3.880908,4.599065,-9.464386,23.554580,0.173399
0.020000,12.932551,17.988213,3.969645,4.436868,-8.109829,67.727842,0.122147
0.020000,13.018349,17.996435,4.055836,4.309520,-6.367384,87.122251,0.068347
0.020000,13.102744,17.999877,4.140301,4.223278,-4.312134,102.762507,0.012824
0.020000,13.224628,18.000000,4.262185,6.094207,93.546476,4892.930521,0.000000
0.020000,13.364628,18.000000,4.402185,7.000000,45.289637,-2412.841986,0.000000
0.020000,13.504628,18.000000,4.542185,7.000000,-0.000000,-2264.481827,0.000000
0.020000,13.644628,18.000000,4.682185,7.000000,0.000000,0.000000,0.000000
0.020000,13.784628,18.000000,4.822185,7.000000,-0.000000,-0.000000,0.000000
0.020000,13.924628,18.000000,4.962185,7.000000,0.000000,0.000000,0.000000
0.020000,14.064628,18.000000,5.102185,7.000000,-0.000000,-0.000000,0.000000
0.020000,14.204628,18.000000,5.242185,7.000000,0.000000,0.000000,0.000000
0.020000,14.344628,18.000000,5.382185,7.000000,0.000000,0.000000,0.000000
0.020000,14.484628,18.000000,5.522185,7.000000,-0.000000,-0.000000,0.000000
0.020000,14.624628,18.000000,5.662185,7.000000,0.000000,0.000000,0.000000
0.020000,14.764628,18.000000,5.802185,7.000000,-0.000000,-0.000000,0.000000
0.020000,14.904628,18.000000,5.942185,7.000000,0.000000,0.000000,0.000000
0.020000,15.044628,18.000000,6.082185,7.000000,-0.000000,-0.000000,0.000000
0.020000,15.184628,18.000000,6.222185,7.000000,0.000000,0.000000,0.000000
0.020000,15.324628,18.000000,6.362185,7.000000,0.000000,0.000000,0.000000
0.020000,15.464628,18.000000,6.502185,7.000000,-0.000000,-0.000000,0.000000
0.020000,15.604628,18.000000,6.642185,7.000000,0.000000,0.000000,0.000000
0.020000,15.744628,18.000000,6.782185,7.000000,0.000000,0.000000,0.000000
0.020000,15.884628,18.000000,6.922185,7.000000,0.000000,-0.000000,0.000000
0.020000,16.024628,18.000000,7.062185,7.000000,0.000000,0.000000,0.000000
0.020000,16.164628,18.000000,7.202185,7.000000,-0.000000,-0.000000,0.000000
0.020000,16.304628,18.000000,7.342185,7.000000,0.000000,0.000000,0.000000
0.020000,16.444628,18.000000,7.482185,7.000000,0.000000,-0.000000,0.000000
0.020000,16.584628,18.000000,7.622185,7.000000,0.000000,0.000000,0.000000
0.020000,16.724628,18.000000,7.762185,7.000000,-0.000000,-0.000000,0.000000
0.020000,16.864628,18.000000,7.902185,7.000000,0.000000,0.000000,0.000000
0.020000,17.004628,18.000000,8.042185,7.000000,0.000000,-0.000000,0.000000
0.020000,17.144628,18.000000,8.182185,7.000000,0.000000,0.000000,0.000000
0.020000,17.284628,18.000000,8.322185,7.000000,0.000000,0.000000,0.000000
0.020000,17.424628,18.000000,8.462185,7.000000,-0.000000,-0.000000,0.000000
0.020000,17.564628,18.000000,8.602185,7.000000,0.000000,0.000000,0.000000
0.020000,17.704628,18.000000,8.742185,7.000000,0.000000,-0.000000,0.000000
0.020000,17.844628,18.000000,8.882185,7.000000,0.000000,0.000000,0.000000
0.020000,17.984628,18.000000,9.022185,7.000000,0.000000,0.000000,0.000000
0.020000,18.124628,18.000000,9.162185,7.000000,0.000000,0.000000,0.000000
0.020000,18.264628,18.000000,9.302185,7.000000,0.000000,0.000000,0.000000
0.020000,18.404628,18.000000,9.442185,7.000000,0.000000,0.000000,0.000000
0.020000,18.551086,18.000792,9.588645,7.322990,16.149491,807.474573,0.010990
0.020000,18.699419,18.003087,9.736997,7.417566,4.728832,-571.032966,0.019342
0.020000,18.843947,18.006256,9.881558,7.228098,-9.473447,-710.113938,0.023904
0.020000,18.984788,18.009728,10.022443,7.044212,-9.194301,13.957267,0.024788
0.020000,19.121978,18.012982,10.159671,6.861401,-9.140519,2.689121,0.022016
0.020000,19.255457,18.015532,10.293175,6.675191,-9.310528,-8.500449,0.015520
0.020000,19.385069,18.016917,10.422794,6.480958,-9.711628,-20.054990,0.005140
0.020000,19.510544,18.016702,10.548269,6.273785,-10.358672,-32.352193,6.273802
0.020000,19.631297,18.014476,10.669043,6.038674,-11.755527,-69.842751,6.254803
0.020000,19.746417,18.009894,10.784254,5.760541,-13.906640,-107.555688,6.230958
0.020000,19.854891,18.002706,10.892966,5.435603,-16.246920,-117.014007,6.201862
0.020000,19.955665,17.992800,10.994225,5.062960,-18.632135,-119.260724,6.167091
0.020000,20.047685,17.980238,11.087099,4.643704,-20.962793,-116.532926,6.126243
0.020000,20.129983,17.965299,11.170742,4.182153,-23.077566,-105.738606,6.079003
0.020000,20.201912,17.948461,11.244615,3.693656,-24.424826,-67.363023,6.025137
0.020000,20.263237,17.930360,11.308556,3.197033,-24.831195,-20.318437,5.964520
0.020000,20.314112,17.911746,11.362729,2.708639,-24.419675,20.575995,5.897318
0.020000,20.355187,17.893363,11.407730,2.250078,-22.928075,74.579985,5.824126
0.020000,20.387677,17.875762,11.444681,1.847539,-20.126916,140.057946,5.746065
0.020000,20.413285,17.859117,11.475223,1.527117,-16.021115,205.290078,5.664776
0.020000,20.433971,17.843103,11.501384,1.308037,-10.954008,253.355331,5.582287
0.020000,20.451619,17.826940,11.525315,1.196542,-5.574747,268.963073,5.500748
0.020000,20.467731,17.809596,11.548988,1.183663,-0.643949,246.539894,5.422134
0.020000,20.483268,17.790056,11.573952,1.248195,3.226616,193.528243,5.347991
0.020000,20.498668,17.767558,11.601216,1.363177,5.749108,126.124578,5.279330
0.020000,20.513977,17.741702,11.631264,1.502410,6.961651,60.627158,5.216634
0.020000,20.529021,17.712450,11.664158,1.644725,7.115732,7.704058,5.159967
0.020000,20.543546,17.680046,11.699669,1.775520,6.539747,-28.799269,5.109095
0.020000,20.557304,17.644923,11.737390,1.886083,5.528152,-50.579725,5.063618
0.020000,20.570103,17.607608,11.776839,1.972447,4.318211,-60.497037,5.023047
0.020000,20.581817,17.568660,11.817510,2.033542,3.054720,-63.174558,4.986881
0.020000,20.592383,17.528624,11.858917,2.070348,1.840323,-60.719877,4.954632
0.020000,20.601790,17.488004,11.900612,2.084742,0.719673,-56.032501,4.925853
0.020000,20.610066,17.447256,11.942192,2.079016,-0.286266,-50.296952,4.900140
0.020000,20.617267,17.406780,11.983304,2.055569,-1.172355,-44.304411,4.877140
0.020000,20.623466,17.366927,12.023636,2.016629,-1.947020,-38.733249,4.856543
0.020000,20.628746,17.327997,12.062922,1.964293,-2.616803,-33.489193,4.838080
0.020000,20.633194,17.290251,12.100929,1.900363,-3.196465,-28.983099,4.821521
0.020000,20.636900,17.253910,12.137459,1.826499,-3.693200,-24.836751,4.806666
0.020000,20.639950,17.219162,12.172341,1.744070,-4.121485,-21.414206,4.793345
0.020000,20.642427,17.186169,12.205427,1.654300,-4.488486,-18.350065,4.781410
0.020000,20.644409,17.155068,12.236591,1.558197,-4.805169,-15.834151,4.770734
0.020000,20.645968,17.125976,12.265725,1.456701,-5.074754,-13.479254,4.761209
0.020000,20.647171,17.098994,12.292733,1.350429,-5.313627,-11.943674,4.752743
0.020000,20.648079,17.074204,12.317540,1.240339,-5.504513,-9.544293,4.745255
0.020000,20.648745,17.051680,12.340073,1.126669,-5.683488,-8.948721,4.738677
0.020000,20.649218,17.031481,12.360278,1.010253,-5.820814,-6.866315,4.732951
0.020000,20.649540,17.013659,12.378103,0.891217,-5.951770,-6.547815,4.728027
0.020000,20.649749,16.998255,12.393508,0.770276,-6.047036,-4.763301,4.723865
0.020000,20.649875,16.985306,12.406458,0.647496,-6.139015,-4.598937,4.720431
0.020000,20.649945,16.974837,12.416927,0.523445,-6.202546,-3.176535,4.717696
0.020000,20.649979,16.966872,12.424893,0.398280,-6.258249,-2.785161,4.715640
0.020000,20.649994,16.961246,12.430518,0.281272,-5.850396,20.392647,4.714201
0.020000,20.649998,16.957580,12.434184,0.183313,-4.897962,47.621725,4.713268
0.020000,20.650000,16.955454,12.436310,0.106284,-3.851446,52.325771,4.712729
0.020000,20.650000,16.954449,12.437316,0.050278,-2.800295,52.557564,4.712475
0.020000,20.650000,16.954142,12.437623,0.015349,-1.746486,52.690441,4.712397
0.020000,20.650000,16.954110,12.437654,0.001585,-0.688173,52.915645,4.712389
0.020000,20.650000,16.954110,12.437654,0.000000,-0.079254,30.445957,4.712389
