dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,9.203060,18.949996,0.000286,0.028571,1.428571,71.428571,6.280635
0.020000,9.202466,18.949997,0.000880,0.029713,0.057071,-68.575044,6.281131
0.020000,9.201128,18.949999,0.002218,0.066880,1.858360,90.064468,6.282245
0.020000,9.201152,18.950001,0.002242,0.001226,-3.282678,-257.051873,0.001044
0.020000,9.204567,18.950009,0.005656,0.170705,8.473937,587.830709,0.004151
0.020000,9.209461,18.950041,0.010550,0.244707,3.700076,-238.693015,0.008644
0.020000,9.216081,18.950118,0.017171,0.331029,4.316105,30.801440,0.014794
0.020000,9.224522,18.950277,0.025614,0.422143,4.555691,11.979297,0.022758
0.020000,9.234733,18.950559,0.035829,0.510750,4.430344,-6.267340,0.032578
0.020000,9.246654,18.951017,0.047758,0.596473,4.286196,-7.207404,0.044304
0.020000,9.260213,18.951711,0.061335,0.678860,4.119342,-8.342702,0.057990
0.020000,9.275335,18.952708,0.076490,0.757744,3.944202,-8.757000,0.073693
0.020000,9.291941,18.954081,0.093152,0.833102,3.767869,-8.816675,0.091475
0.020000,9.309948,18.955913,0.111253,0.905026,3.596202,-8.583325,0.111391
0.020000,9.329283,18.958291,0.130734,0.974041,3.450758,-7.272230,0.133490
0.020000,9.349882,18.961312,0.151552,1.040934,3.344645,-5.305614,0.157807
0.020000,9.371698,18.965080,0.173691,1.106942,3.300405,-2.212028,0.184357
0.020000,9.394713,18.969714,0.197169,1.173885,3.347132,2.336346,0.213125
0.020000,9.418946,18.975351,0.222049,1.243987,3.505109,7.898855,0.244058
0.020000,9.444458,18.982153,0.248452,1.320170,3.809138,15.201476,0.277054
0.020000,9.471364,18.990315,0.276568,1.405812,4.282131,23.649629,0.311956
0.020000,9.499831,19.000077,0.306662,1.504699,4.944327,33.109825,0.348543
0.020000,9.530080,19.011729,0.339079,1.620820,5.806077,43.087498,0.386527
0.020000,9.562380,19.025623,0.374240,1.758069,6.862420,52.817147,0.425557
0.020000,9.597028,19.042175,0.412638,1.919915,8.092330,61.495480,0.465223
0.020000,9.634336,19.061858,0.454820,2.109080,9.458245,68.295779,0.505070
0.020000,9.674607,19.085196,0.501365,2.327251,10.908548,72.515108,0.544613
0.020000,9.718119,19.112743,0.552863,2.574924,12.383656,73.755433,0.583361
0.020000,9.765104,19.145063,0.609892,2.851404,13.824012,72.017774,0.620835
0.020000,9.815747,19.182703,0.672991,3.154970,15.178280,67.713420,0.656583
0.020000,9.870183,19.226173,0.742654,3.483147,16.408830,61.527501,0.690194
0.020000,9.928509,19.275924,0.819315,3.833078,17.496564,54.386675,0.721307
0.020000,9.990799,19.332335,0.903353,4.201883,18.440256,47.184599,0.749607
0.020000,10.057127,19.395714,0.995093,4.587000,19.255827,40.778561,0.774821
0.020000,10.127590,19.466289,1.094822,4.986463,19.973177,35.867495,0.796712
0.020000,10.202330,19.544223,1.202803,5.399044,20.629054,32.793878,0.815060
0.020000,10.281566,19.629613,1.319292,5.824452,21.270392,32.066882,0.829652
0.020000,10.365609,19.722504,1.444559,6.263361,21.945428,33.751821,0.840262
0.020000,10.454896,19.822891,1.578909,6.717482,22.706094,38.033295,0.846637
0.020000,10.550017,19.930726,1.722702,7.189623,23.607040,45.047294,0.848477
0.020000,10.651745,20.045909,1.876376,7.683721,24.704864,54.891218,0.845415
0.020000,10.761074,20.168282,2.040473,8.204869,26.057438,67.628699,0.837000
0.020000,10.879267,20.297590,2.215659,8.759284,27.720727,83.164423,0.822677
0.020000,11.007895,20.433437,2.402741,9.354099,29.740768,101.002076,0.801773
0.020000,11.148886,20.575199,2.602678,9.996844,32.137250,119.824071,0.773486
0.020000,11.304545,20.721882,2.816561,10.694147,34.865130,136.394023,0.736907
0.020000,11.477522,20.871932,3.045550,11.449452,37.765248,145.005884,0.691066
0.020000,11.670665,21.022955,3.290728,12.258907,40.472757,135.375462,0.635058
0.020000,11.886663,21.171429,3.552834,13.105278,42.318549,92.289579,0.568262
0.020000,12.127416,21.312477,3.831862,13.951397,42.305971,-0.628872,0.490681
0.020000,12.392731,21.439805,4.126148,14.714316,38.145951,-208.001022,0.403459
0.020000,12.679357,21.546559,4.432009,15.293062,28.937282,-460.433450,0.309194
0.020000,12.981193,21.626989,4.744378,15.618439,16.268828,-633.422673,0.211641
0.020000,13.290290,21.677864,5.057633,15.662775,2.216831,-702.599888,0.115017
0.020000,13.598629,21.699076,5.366701,15.453371,-10.470230,-634.353013,0.023083
0.020000,13.820652,21.700000,5.588726,11.101273,-217.604874,-10356.732222,0.000000
0.020000,14.020652,21.700000,5.788726,10.000000,-55.063654,8127.060991,0.000000
0.020000,14.220652,21.700000,5.988726,10.000000,-0.000000,2753.182712,0.000000
0.020000,14.420652,21.700000,6.188726,10.000000,0.000000,0.000000,0.000000
0.020000,14.620652,21.700000,6.388726,10.000000,-0.000000,-0.000000,0.000000
