dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,9.200000,17.750000,0.000286,0.028571,1.428571,71.428571,6.280635
0.020000,9.200000,17.750000,0.001429,0.085714,2.857143,71.428571,6.281131
0.020000,9.200000,17.750000,0.004000,0.171429,4.285714,71.428571,6.282245
0.020000,9.202405,17.750001,0.008571,0.285714,5.714286,71.428571,0.001044
0.020000,9.209548,17.750020,0.015714,0.428571,7.142857,71.428571,0.004151
0.020000,9.219833,17.750086,0.026000,0.600000,8.571429,71.428571,0.008644
0.020000,9.233833,17.750250,0.040000,0.800000,10.000000,71.428571,0.014794
0.020000,9.251829,17.750587,0.058000,1.000000,10.000000,-0.000000,0.022758
0.020000,9.273820,17.751196,0.080000,1.200000,10.000000,0.000000,0.032578
0.020000,9.299801,17.752195,0.106000,1.400000,10.000000,-0.000000,0.044304
0.020000,9.329762,17.753728,0.136000,1.600000,10.000000,0.000000,0.057990
0.020000,9.363687,17.755965,0.170000,1.800000,10.000000,-0.000000,0.073693
0.020000,9.401558,17.759098,0.208000,2.000000,10.000000,0.000000,0.091475
0.020000,9.443341,17.763350,0.250000,2.200000,10.000000,-0.000000,0.111391
0.020000,9.488996,17.768967,0.296000,2.400000,10.000000,0.000000,0.133490
0.020000,9.538465,17.776223,0.346000,2.600000,10.000000,-0.000000,0.157807
0.020000,9.591675,17.785414,0.400000,2.800000,10.000000,0.000000,0.184357
0.020000,9.648532,17.796864,0.458000,3.000000,10.000000,0.000000,0.213125
0.020000,9.708917,17.810913,0.520000,3.200000,10.000000,-0.000000,0.244058
0.020000,9.772686,17.827915,0.586000,3.400000,10.000000,0.000000,0.277054
0.020000,9.839668,17.848233,0.656000,3.600000,10.000000,0.000000,0.311956
0.020000,9.909665,17.872231,0.730000,3.800000,10.000000,0.000000,0.348543
0.020000,9.982449,17.900260,0.808000,4.000000,10.000000,0.000000,0.386527
0.020000,10.057774,17.932653,0.890000,4.200000,10.000000,0.000000,0.425557
0.020000,10.135375,17.969709,0.976000,4.400000,10.000000,-0.000000,0.465223
0.020000,10.214978,18.011689,1.066000,4.600000,10.000000,0.000000,0.505070
0.020000,10.296311,18.058802,1.160000,4.800000,10.000000,-0.000000,0.544613
0.020000,10.379118,18.111204,1.258000,5.000000,10.000000,0.000000,0.583361
0.020000,10.463161,18.168991,1.360000,5.200000,10.000000,-0.000000,0.620835
0.020000,10.548243,18.232204,1.466000,5.400000,10.000000,0.000000,0.656583
0.020000,10.634207,18.300827,1.576000,5.600000,10.000000,-0.000000,0.690194
0.020000,10.720949,18.374792,1.690000,5.800000,10.000000,0.000000,0.721307
0.020000,10.808420,18.453987,1.808000,6.000000,10.000000,-0.000000,0.749607
0.020000,10.896633,18.538258,1.930000,6.200000,10.000000,-0.000000,0.774821
0.020000,10.985663,18.627415,2.056000,6.400000,10.000000,0.000000,0.796712
0.020000,11.075651,18.721234,2.186000,6.600000,10.000000,0.000000,0.815060
0.020000,11.166801,18.819454,2.320000,6.800000,10.000000,-0.000000,0.829652
0.020000,11.259390,18.921782,2.458000,7.000000,10.000000,0.000000,0.840262
0.020000,11.353764,19.027884,2.600000,7.200000,10.000000,-0.000000,0.846637
0.020000,11.450346,19.137373,2.746000,7.400000,10.000000,0.000000,0.848477
0.020000,11.549640,19.249804,2.896000,7.600000,10.000000,0.000000,0.845415
0.020000,11.652239,19.364649,3.050000,7.800000,10.000000,-0.000000,0.837000
0.020000,11.758830,19.481276,3.208000,8.000000,10.000000,0.000000,0.822677
0.020000,11.870203,19.598916,3.370000,8.200000,10.000000,0.000000,0.801773
0.020000,11.987246,19.716623,3.536000,8.400000,10.000000,-0.000000,0.773486
0.020000,12.110734,19.833030,3.705714,8.571429,8.571429,-71.428571,0.736975
0.020000,12.241253,19.946341,3.878571,8.714286,7.142857,-71.428571,0.691478
0.020000,12.379315,20.054535,4.054000,8.828571,5.714286,-71.428571,0.636418
0.020000,12.525248,20.155399,4.231429,8.914286,4.285714,-71.428571,0.571618
0.020000,12.679053,20.246610,4.410286,8.971429,2.857143,-71.428571,0.497568
0.020000,12.840266,20.325915,4.590000,9.000000,1.428571,-71.428571,0.415672
0.020000,13.007879,20.391376,4.770000,9.000000,0.000000,-71.428571,0.328332
0.020000,13.180634,20.441712,4.950000,9.000000,0.000000,0.000000,0.238570
0.020000,13.357204,20.476377,5.130000,9.000000,0.000000,0.000000,0.149516
0.020000,13.536132,20.495479,5.310000,9.000000,0.000000,0.000000,0.063978
0.020000,13.710652,20.500000,5.490000,9.000000,0.000000,0.000000,0.000000
0.020000,13.890652,20.500000,5.670000,9.000000,0.000000,0.000000,0.000000
0.020000,14.070652,20.500000,5.850000,9.000000,0.000000,0.000000,0.000000
0.020000,14.250652,20.500000,6.030000,9.000000,0.000000,0.000000,0.000000
0.020000,14.430652,20.500000,6.210000,9.000000,0.000000,0.000000,0.000000
0.020000,14.610652,20.500000,6.390000,9.000000,0.000000,0.000000,0.000000
0.020000,14.790652,20.500000,6.570000,9.000000,0.000000,0.000000,0.000000
