dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,9.197440,16.750003,0.000263,0.026316,1.315789,65.789474,6.280626
0.020000,9.197896,16.750002,0.000719,0.022806,-0.175510,-74.564993,6.281082
0.020000,9.198923,16.750001,0.001746,0.051331,1.426273,80.089193,6.282108
0.020000,9.202478,16.750001,0.005301,0.177768,6.321861,244.779378,0.000750
0.020000,9.211918,16.750022,0.014741,0.471990,14.711107,419.462276,0.003611
0.020000,9.225526,16.750099,0.028349,0.680384,10.419678,-214.571405,0.007745
0.020000,9.243697,16.750290,0.046521,0.908638,11.412679,49.650026,0.013287
0.020000,9.266457,16.750672,0.069284,1.138139,11.475094,3.120747,0.020259
0.020000,9.293827,16.751341,0.096663,1.368923,11.539191,3.204850,0.028691
0.020000,9.325839,16.752419,0.128692,1.601474,11.627528,4.416867,0.038615
0.020000,9.362521,16.754046,0.165411,1.835916,11.722103,4.728755,0.050070
0.020000,9.403901,16.756390,0.206857,2.072337,11.821059,4.947761,0.063097
0.020000,9.450005,16.759641,0.253076,2.310912,11.928755,5.384844,0.077736
0.020000,9.500848,16.764018,0.304106,2.551532,12.030988,5.111620,0.094031
0.020000,9.556432,16.769764,0.359987,2.794046,12.125722,4.736710,0.112019
0.020000,9.616750,16.777152,0.420755,3.038410,12.218190,4.623410,0.131735
0.020000,9.681763,16.786476,0.486433,3.283910,12.274975,2.839261,0.153204
0.020000,9.751407,16.798059,0.557034,3.530023,12.305676,1.535016,0.176437
0.020000,9.825580,16.812241,0.632551,3.775869,12.292283,-0.669630,0.201430
0.020000,9.904139,16.829379,0.712958,4.020326,12.222843,-3.472003,0.228155
0.020000,9.986888,16.849836,0.798198,4.261990,12.083209,-6.981705,0.256556
0.020000,10.073575,16.873972,0.888182,4.499238,11.862392,-11.040856,0.286544
0.020000,10.163890,16.902135,0.982787,4.730205,11.548376,-15.700774,0.317994
0.020000,10.257460,16.934645,1.081843,4.952813,11.130398,-20.898938,0.350739
0.020000,10.353857,16.971777,1.185144,5.165064,10.612549,-25.892417,0.384572
0.020000,10.452602,17.013754,1.292442,5.364880,9.990812,-31.086873,0.419243
0.020000,10.553183,17.060727,1.403450,5.550414,9.276689,-35.706165,0.454468
0.020000,10.655064,17.112771,1.517854,5.720228,8.490669,-39.300973,0.489931
0.020000,10.757712,17.169880,1.635320,5.873258,7.651536,-41.956647,0.525297
0.020000,10.860614,17.231965,1.755500,6.009012,6.787675,-43.193043,0.560221
0.020000,10.963296,17.298861,1.878051,6.127572,5.928014,-42.983044,0.594357
0.020000,11.065345,17.370339,2.002642,6.229541,5.098462,-41.477613,0.627375
0.020000,11.166413,17.446113,2.128961,6.315951,4.320466,-38.899807,0.658962
0.020000,11.266232,17.525860,2.256724,6.388146,3.609764,-35.535103,0.688835
0.020000,11.364612,17.609227,2.385677,6.447660,2.975707,-31.702829,0.716740
0.020000,11.461442,17.695847,2.515597,6.495987,2.416340,-27.968350,0.742453
0.020000,11.556680,17.785344,2.646287,6.534480,1.924640,-24.585003,0.765777
0.020000,11.650346,17.877336,2.777572,6.564284,1.490234,-21.720309,0.786539
0.020000,11.742306,17.971226,2.908995,6.571150,0.343276,-57.347897,0.804542
0.020000,11.832305,18.066204,3.039841,6.542269,-1.444067,-89.367180,0.819599
0.020000,11.920173,18.161483,3.169452,6.480541,-3.086356,-82.114433,0.831579
0.020000,12.005810,18.256303,3.297218,6.388344,-4.609850,-76.174720,0.840399
0.020000,12.089153,18.349934,3.422570,6.267572,-6.038601,-71.437545,0.846014
0.020000,12.170164,18.441683,3.544966,6.119794,-7.388916,-67.515720,0.848410
0.020000,12.248979,18.531088,3.664150,5.959227,-8.028350,-31.971708,0.847594
0.020000,12.325874,18.617893,3.780115,5.798254,-8.048661,-1.015578,0.843559
0.020000,12.401084,18.701834,3.892822,5.635313,-8.147064,-4.920130,0.836266
0.020000,12.474799,18.782641,4.002199,5.468892,-8.321037,-8.698647,0.825644
0.020000,12.547162,18.860031,4.108151,5.297582,-8.565473,-12.221814,0.811597
0.020000,12.618275,18.933715,4.210554,5.120151,-8.871577,-15.305203,0.794001
0.020000,12.688192,19.003399,4.309267,4.935647,-9.225206,-17.681446,0.772716
0.020000,12.756921,19.068797,4.404138,4.743553,-9.604671,-18.973257,0.747589
0.020000,12.824431,19.129637,4.495018,4.544002,-9.977580,-18.645435,0.718473
0.020000,12.890658,19.185684,4.581778,4.337989,-10.300629,-16.152470,0.685236
0.020000,12.955518,19.236757,4.664332,4.127705,-10.514213,-10.679202,0.647795
0.020000,13.018930,19.282749,4.742668,3.916777,-10.546375,-1.608061,0.606137
0.020000,13.080849,19.323653,4.816878,3.710505,-10.313607,11.638367,0.560353
0.020000,13.141303,19.359567,4.887194,3.515831,-9.733731,28.993830,0.510677
0.020000,13.200431,19.390694,4.954015,3.341025,-8.740263,49.673399,0.457506
0.020000,13.258516,19.417324,5.017914,3.194957,-7.303399,71.843205,0.401413
0.020000,13.316001,19.439789,5.079633,3.085932,-5.451249,92.607483,0.343141
0.020000,13.373464,19.458418,5.140040,3.020352,-3.279044,108.610241,0.283557
0.020000,13.431574,19.473476,5.200069,3.001481,-0.943541,116.775173,0.223596
0.020000,13.491018,19.485138,5.260647,3.028868,1.369341,115.644097,0.164182
0.020000,13.552422,19.493471,5.322613,3.098322,3.472715,105.168692,0.106157
0.020000,13.616284,19.498451,5.386669,3.202776,5.222733,87.500916,0.050222
0.020000,13.680652,19.500000,5.451056,3.219364,0.829392,-219.667085,0.000000
0.020000,13.800652,19.500000,5.571056,6.000000,139.031784,6910.119598,0.000000
0.020000,13.920652,19.500000,5.691056,6.000000,0.000000,-6951.589182,0.000000
0.020000,14.040652,19.500000,5.811056,6.000000,0.000000,0.000000,0.000000
0.020000,14.160652,19.500000,5.931056,6.000000,-0.000000,-0.000000,0.000000
0.020000,14.280652,19.500000,6.051056,6.000000,0.000000,0.000000,0.000000
0.020000,14.400652,19.500000,6.171056,6.000000,-0.000000,-0.000000,0.000000
0.020000,14.520652,19.500000,6.291056,6.000000,0.000000,0.000000,0.000000
0.020000,14.640652,19.500000,6.411056,6.000000,-0.000000,-0.000000,0.000000
0.020000,14.760652,19.500000,6.531056,6.000000,0.000000,0.000000,0.000000
0.020000,14.880652,19.500000,6.651056,6.000000,-0.000000,-0.000000,0.000000
0.020000,15.000652,19.500000,6.771056,6.000000,0.000000,0.000000,0.000000
0.020000,15.120652,19.500000,6.891056,6.000000,0.000000,0.000000,0.000000
0.020000,15.240652,19.500000,7.011056,6.000000,-0.000000,-0.000000,0.000000
0.020000,15.360652,19.500000,7.131056,6.000000,0.000000,0.000000,0.000000
0.020000,15.480652,19.500000,7.251056,6.000000,0.000000,-0.000000,0.000000
0.020000,15.600652,19.500000,7.371056,6.000000,-0.000000,-0.000000,0.000000
0.020000,15.720652,19.500000,7.491056,6.000000,0.000000,0.000000,0.000000
0.020000,15.840652,19.500000,7.611056,6.000000,0.000000,0.000000,0.000000
0.020000,15.960652,19.500000,7.731056,6.000000,-0.000000,-0.000000,0.000000
0.020000,16.080652,19.500000,7.851056,6.000000,0.000000,0.000000,0.000000
0.020000,16.200652,19.500000,7.971056,6.000000,0.000000,0.000000,0.000000
0.020000,16.320652,19.500000,8.091056,6.000000,0.000000,-0.000000,0.000000
