dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000929,1.000000,0.000285,0.028475,1.423744,71.187178,6.282257
0.020000,0.000749,1.000000,0.000465,0.008998,-0.973821,-119.878218,6.282436
0.020000,0.000344,1.000000,0.000869,0.020236,0.561896,76.785830,6.282841
0.020000,0.002001,1.000000,0.002527,0.082853,3.130835,128.446985,0.000375
0.020000,0.007998,1.000006,0.008524,0.299859,10.850279,385.972182,0.001496
0.020000,0.016638,1.000026,0.017163,0.431968,6.605456,-212.241146,0.003108
0.020000,0.028403,1.000075,0.028929,0.588291,7.816181,60.536256,0.005295
0.020000,0.043542,1.000177,0.044068,0.756938,8.432305,30.806201,0.008095
0.020000,0.062061,1.000358,0.062588,0.926016,8.453900,1.079722,0.011500
0.020000,0.083972,1.000654,0.084501,1.095640,8.481244,1.367231,0.015500
0.020000,0.109286,1.001105,0.109819,1.265907,8.513335,1.604505,0.020080
0.020000,0.138018,1.001756,0.138558,1.436951,8.552187,1.942606,0.025226
0.020000,0.170183,1.002659,0.170735,1.608875,8.596201,2.200730,0.030920
0.020000,0.205799,1.003872,0.206372,1.781827,8.647599,2.569871,0.037142
0.020000,0.244885,1.005456,0.245491,1.955933,8.705303,2.885231,0.043867
0.020000,0.287464,1.007479,0.288118,2.131352,8.770946,3.282127,0.051071
0.020000,0.333559,1.010013,0.334282,2.308217,8.843275,3.616449,0.058724
0.020000,0.383195,1.013133,0.384016,2.486697,8.923986,4.035572,0.066794
0.020000,0.436399,1.016919,0.437355,2.666943,9.012278,4.414586,0.075246
0.020000,0.493201,1.021454,0.494337,2.849123,9.109030,4.837611,0.084040
0.020000,0.553631,1.026822,0.555005,3.033405,9.214069,5.251965,0.093135
0.020000,0.617722,1.033113,0.619404,3.219950,9.327290,5.661025,0.102486
0.020000,0.685508,1.040414,0.687583,3.408928,9.448862,6.078601,0.112043
0.020000,0.757027,1.048815,0.759593,3.600494,9.578339,6.473864,0.121756
0.020000,0.832315,1.058405,0.835489,3.794813,9.715911,6.878599,0.131569
0.020000,0.911412,1.069273,0.915330,3.992029,9.860820,7.245418,0.141424
0.020000,0.994361,1.081503,0.999175,4.192287,10.012911,7.604556,0.151260
0.020000,1.081205,1.095178,1.087090,4.395722,10.171760,7.942460,0.161014
0.020000,1.171991,1.110376,1.179139,4.602459,10.336843,8.254138,0.170620
0.020000,1.266767,1.127169,1.275391,4.812613,10.507696,8.542680,0.180009
0.020000,1.365585,1.145623,1.375917,5.026291,10.683899,8.810136,0.189111
0.020000,1.468498,1.165794,1.480789,5.243592,10.865028,9.056445,0.197854
0.020000,1.575567,1.187729,1.590081,5.464605,11.050659,9.281532,0.206162
0.020000,1.686852,1.211465,1.703869,5.689420,11.240771,9.505613,0.213961
0.020000,1.802422,1.237022,1.822232,5.918121,11.435053,9.714124,0.221173
0.020000,1.922350,1.264411,1.945248,6.150793,11.633570,9.925835,0.227718
0.020000,2.046450,1.293559,2.072725,6.373855,11.153129,-24.022069,0.233503
0.020000,2.174269,1.324304,2.204189,6.573208,9.967653,-59.273766,0.238433
0.020000,2.305346,1.356453,2.339151,6.748092,8.744180,-61.173662,0.242428
0.020000,2.439213,1.389783,2.477105,6.897717,7.481254,-63.146322,0.245425
0.020000,2.575394,1.424048,2.617531,7.021282,6.178261,-65.149608,0.247373
0.020000,2.713402,1.458978,2.759890,7.117975,4.834648,-67.180685,0.248242
0.020000,2.852610,1.494260,2.903500,7.180465,3.124502,-85.507269,0.248017
0.020000,2.992374,1.529568,3.047654,7.207734,1.363449,-88.052675,0.246702
0.020000,3.132157,1.564606,3.191762,7.205378,-0.117815,-74.063189,0.244321
0.020000,3.271404,1.599081,3.335213,7.172581,-1.639859,-76.102219,0.240913
0.020000,3.409540,1.632711,3.477384,7.108537,-3.202216,-78.117813,0.236534
0.020000,3.545968,1.665227,3.617633,7.012449,-4.804359,-80.107177,0.231254
0.020000,3.680067,1.696382,3.755304,6.883545,-6.445196,-82.041828,0.225161
0.020000,3.811328,1.725986,3.889863,6.727922,-7.781164,-66.798439,0.218349
0.020000,3.939520,1.753939,4.021066,6.560191,-8.386582,-30.270900,0.210905
0.020000,4.064564,1.780195,4.148837,6.388530,-8.583037,-9.822724,0.202908
0.020000,4.186379,1.804727,4.273097,6.213024,-8.775286,-9.612462,0.194435
0.020000,4.304881,1.827523,4.393773,6.033760,-8.963221,-9.396726,0.185560
0.020000,4.419986,1.848589,4.510789,5.850826,-9.146678,-9.172849,0.176358
0.020000,4.531607,1.867942,4.624075,5.664317,-9.325467,-8.939448,0.166899
0.020000,4.639658,1.885614,4.733562,5.474334,-9.499121,-8.682723,0.157253
0.020000,4.744054,1.901649,4.839182,5.280988,-9.667295,-8.408684,0.147488
0.020000,4.844709,1.916101,4.940870,5.084399,-9.829453,-8.107898,0.137668
0.020000,4.941543,1.929036,5.038564,4.884695,-9.985243,-7.789528,0.127856
0.020000,5.034476,1.940526,5.132204,4.682015,-10.134001,-7.437915,0.118111
0.020000,5.123431,1.950650,5.221734,4.476501,-10.275657,-7.082799,0.108489
0.020000,5.208338,1.959494,5.307100,4.268312,-10.409488,-6.691545,0.099045
0.020000,5.289129,1.967148,5.388252,4.057602,-10.535466,-6.298878,0.089829
0.020000,5.365739,1.973705,5.465143,3.844537,-10.653255,-5.889448,0.080888
0.020000,5.438112,1.979259,5.537729,3.629282,-10.762768,-5.475651,0.072265
0.020000,5.506194,1.983905,5.605969,3.411997,-10.864222,-5.072693,0.064001
0.020000,5.569936,1.987740,5.669826,3.192853,-10.957209,-4.649383,0.056134
0.020000,5.629294,1.990854,5.729266,2.972006,-11.042344,-4.256705,0.048698
0.020000,5.684230,1.993340,5.784258,2.749625,-11.119061,-3.835877,0.041722
0.020000,5.734710,1.995284,5.834775,2.525853,-11.188606,-3.477259,0.035236
