dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,0.000000,0.000263,0.026316,1.315789,65.789474,6.282253
0.020000,0.000000,0.000000,0.001316,0.078947,2.631579,65.789474,6.282419
0.020000,0.000000,0.000000,0.003684,0.157895,3.947368,65.789474,6.282793
0.020000,0.001728,0.000000,0.007895,0.263158,5.263158,65.789474,0.000273
0.020000,0.008307,0.000005,0.014474,0.394737,6.578947,65.789474,0.001309
0.020000,0.017781,0.000025,0.023947,0.552632,7.894737,65.789474,0.002799
0.020000,0.030412,0.000073,0.036579,0.710526,7.894737,-0.000000,0.004780
0.020000,0.046201,0.000168,0.052368,0.868421,7.894737,0.000000,0.007248
0.020000,0.065148,0.000333,0.071316,1.026316,7.894737,0.000000,0.010196
0.020000,0.087252,0.000596,0.093421,1.184211,7.894737,-0.000000,0.013617
0.020000,0.112512,0.000989,0.118684,1.342105,7.894737,0.000000,0.017502
0.020000,0.140927,0.001549,0.147105,1.500000,7.894737,0.000000,0.021842
0.020000,0.172497,0.002314,0.178684,1.657895,7.894737,0.000000,0.026624
0.020000,0.207219,0.003329,0.213421,1.815789,7.894737,0.000000,0.031835
0.020000,0.245091,0.004642,0.251316,1.973684,7.894737,-0.000000,0.037461
0.020000,0.286110,0.006303,0.292368,2.131579,7.894737,0.000000,0.043484
0.020000,0.330272,0.008367,0.336579,2.289474,7.894737,-0.000000,0.049886
0.020000,0.377573,0.010889,0.383947,2.447368,7.894737,0.000000,0.056647
0.020000,0.428008,0.013929,0.434474,2.605263,7.894737,0.000000,0.063744
0.020000,0.481570,0.017548,0.488158,2.763158,7.894737,0.000000,0.071154
0.020000,0.538252,0.021808,0.545000,2.921053,7.894737,0.000000,0.078849
0.020000,0.598046,0.026773,0.605000,3.078947,7.894737,0.000000,0.086801
0.020000,0.660943,0.032506,0.668158,3.236842,7.894737,-0.000000,0.094979
0.020000,0.726933,0.039073,0.734474,3.394737,7.894737,0.000000,0.103352
0.020000,0.796004,0.046537,0.803947,3.552632,7.894737,0.000000,0.111884
0.020000,0.868145,0.054960,0.876579,3.710526,7.894737,-0.000000,0.120538
0.020000,0.943344,0.064404,0.952368,3.868421,7.894737,0.000000,0.129276
0.020000,1.021586,0.074927,1.031316,4.026316,7.894737,0.000000,0.138057
0.020000,1.102859,0.086586,1.113421,4.184211,7.894737,0.000000,0.146839
0.020000,1.187149,0.099432,1.198684,4.342105,7.894737,0.000000,0.155578
0.020000,1.274441,0.113513,1.287105,4.500000,7.894737,0.000000,0.164228
0.020000,1.364723,0.128874,1.378684,4.657895,7.894737,0.000000,0.172741
0.020000,1.457980,0.145549,1.473421,4.815789,7.894737,0.000000,0.181069
0.020000,1.554201,0.163572,1.571316,4.973684,7.894737,0.000000,0.189162
0.020000,1.653375,0.182965,1.672368,5.131579,7.894737,0.000000,0.196969
0.020000,1.755492,0.203746,1.776579,5.289474,7.894737,0.000000,0.204438
0.020000,1.860546,0.225921,1.883947,5.447368,7.894737,0.000000,0.211514
0.020000,1.968530,0.249489,1.994474,5.605263,7.894737,0.000000,0.218144
0.020000,2.079186,0.274380,2.107895,5.736842,6.578947,-65.789474,0.224258
0.020000,2.192003,0.300448,2.223684,5.842105,5.263158,-65.789474,0.229781
0.020000,2.306475,0.327526,2.341316,5.921053,3.947368,-65.789474,0.234652
0.020000,2.422103,0.355430,2.460263,5.973684,2.631579,-65.789474,0.238819
0.020000,2.538391,0.383961,2.580000,6.000000,1.315789,-65.789474,0.242246
0.020000,2.654847,0.412910,2.700000,6.000000,0.000000,-65.789474,0.244911
0.020000,2.771236,0.442124,2.820000,6.000000,0.000000,0.000000,0.246805
0.020000,2.887582,0.471514,2.940000,6.000000,0.000000,0.000000,0.247931
0.020000,3.003905,0.500990,3.060000,6.000000,0.000000,0.000000,0.248289
0.020000,3.120229,0.530463,3.180000,6.000000,0.000000,0.000000,0.247880
0.020000,3.236577,0.559844,3.300000,6.000000,0.000000,0.000000,0.246702
0.020000,3.352970,0.589043,3.420000,6.000000,0.000000,0.000000,0.244756
0.020000,3.469401,0.617963,3.539969,5.996881,-0.155964,-7.798210,0.242040
0.020000,3.585605,0.646445,3.659612,5.967446,-1.471754,-65.789474,0.238564
0.020000,3.701089,0.674281,3.778403,5.911695,-2.787543,-65.789474,0.234353
0.020000,3.815357,0.701272,3.895817,5.829628,-4.103333,-65.789474,0.229443
0.020000,3.927910,0.727237,4.011325,5.721246,-5.419122,-65.789474,0.223887
0.020000,4.038240,0.752011,4.124403,5.586547,-6.734912,-65.789474,0.217747
0.020000,4.145868,0.775455,4.234555,5.428653,-7.894737,-57.991264,0.211100
0.020000,4.250565,0.797509,4.341549,5.270758,-7.894737,0.000000,0.204011
0.020000,4.352324,0.818171,4.445386,5.112863,-7.894737,0.000000,0.196536
0.020000,4.451139,0.837449,4.546064,4.954969,-7.894737,0.000000,0.188727
0.020000,4.547000,0.855361,4.643584,4.797074,-7.894737,0.000000,0.180637
0.020000,4.639896,0.871931,4.737947,4.639179,-7.894737,0.000000,0.172316
0.020000,4.729815,0.887191,4.829152,4.481284,-7.894737,0.000000,0.163815
0.020000,4.816743,0.901178,4.917198,4.323390,-7.894737,0.000000,0.155183
0.020000,4.900668,0.913935,5.002087,4.165495,-7.894737,0.000000,0.146465
0.020000,4.981575,0.925512,5.083818,4.007600,-7.894737,0.000000,0.137709
0.020000,5.059450,0.935959,5.162391,3.849705,-7.894737,0.000000,0.128956
0.020000,5.134280,0.945334,5.237806,3.691811,-7.894737,0.000000,0.120251
0.020000,5.206051,0.953694,5.310064,3.533916,-7.894737,0.000000,0.111633
0.020000,5.274752,0.961102,5.379163,3.376021,-7.894737,0.000000,0.103141
