dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,-0.000952,-1.000000,0.000283,0.028338,1.416895,70.844764,6.282233
0.020000,-0.000763,-1.000000,0.000472,0.009430,-0.945407,-118.115110,6.282422
0.020000,-0.000339,-1.000000,0.000897,0.021230,0.590012,76.770947,6.282847
0.020000,0.002919,-0.999999,0.004155,0.162902,7.083614,324.680091,0.000417
0.020000,0.011188,-0.999991,0.012423,0.413439,12.526852,272.161918,0.001602
0.020000,0.023102,-0.999962,0.024338,0.595718,9.113948,-170.645211,0.003314
0.020000,0.039333,-0.999889,0.040569,0.811556,10.791890,83.897081,0.005660
0.020000,0.060226,-0.999739,0.061462,1.044633,11.653824,43.096724,0.008700
0.020000,0.085797,-0.999469,0.087034,1.278637,11.700202,2.318910,0.012452
0.020000,0.116070,-0.999024,0.117311,1.513811,11.758739,2.926813,0.016941
0.020000,0.151071,-0.998339,0.152318,1.750380,11.828425,3.484321,0.022194
0.020000,0.190831,-0.997336,0.192091,1.988639,11.912946,4.226030,0.028245
0.020000,0.235385,-0.995925,0.236667,2.228805,12.008328,4.769137,0.035132
0.020000,0.284774,-0.993997,0.286094,2.471344,12.126939,5.930528,0.042902
0.020000,0.339042,-0.991432,0.340423,2.716438,12.254688,6.387461,0.051607
0.020000,0.398239,-0.988087,0.399714,2.964576,12.406898,7.610483,0.061307
0.020000,0.462419,-0.983802,0.464037,3.216148,12.578615,8.585873,0.072072
0.020000,0.531640,-0.978392,0.533469,3.471611,12.773157,9.727113,0.083978
0.020000,0.605965,-0.971645,0.608100,3.731516,12.995217,11.102992,0.097116
0.020000,0.685460,-0.963323,0.688029,3.996464,13.247398,12.609040,0.111586
0.020000,0.770193,-0.953148,0.773370,4.267078,13.530717,14.165962,0.127500
0.020000,0.860232,-0.940809,0.864252,4.544059,13.849048,15.916545,0.144987
0.020000,0.955645,-0.925946,0.960815,4.828181,14.206115,17.853363,0.164190
0.020000,1.056494,-0.908149,1.063222,5.120334,14.607646,20.076531,0.185269
0.020000,1.162828,-0.886952,1.171649,5.421336,15.050101,22.122755,0.208401
0.020000,1.274681,-0.861821,1.286290,5.732050,15.535703,24.280100,0.233780
0.020000,1.392056,-0.832149,1.407357,6.053376,16.066291,26.529387,0.261620
0.020000,1.514916,-0.797247,1.535078,6.386052,16.633794,28.375148,0.292147
0.020000,1.643161,-0.756341,1.669690,6.730580,17.226394,29.630024,0.325599
0.020000,1.776609,-0.708566,1.811431,7.087065,17.824252,29.892856,0.362215
0.020000,1.914958,-0.652971,1.960533,7.455103,18.401902,28.882520,0.402226
0.020000,2.057758,-0.588532,2.117199,7.833274,18.908566,25.333181,0.445835
0.020000,2.204008,-0.514365,2.281180,8.199050,18.288806,-30.987996,0.493079
0.020000,2.352151,-0.429878,2.451721,8.527069,16.400945,-94.393046,0.543770
0.020000,2.500439,-0.334713,2.627920,8.809945,14.143801,-112.857206,0.597571
0.020000,2.646981,-0.228832,2.808711,9.039535,11.479492,-133.215441,0.653982
0.020000,2.789816,-0.112592,2.992867,9.207812,8.413850,-153.282084,0.712344
0.020000,2.927029,0.013220,3.179028,9.308077,5.013235,-170.030770,0.771863
0.020000,3.056715,0.147213,3.365502,9.323701,0.781194,-211.602052,0.831579
0.020000,3.177313,0.287605,3.550580,9.253866,-3.491742,-213.646762,0.890519
0.020000,3.287848,0.432542,3.732857,9.113844,-7.001106,-175.468226,0.947843
0.020000,3.387776,0.580071,3.911043,8.909341,-10.225131,-161.201246,1.002829
0.020000,3.476970,0.728259,4.084003,8.647984,-13.067838,-142.135368,1.054906
0.020000,3.555654,0.875286,4.250761,8.337894,-15.504527,-121.834449,1.103665
0.020000,3.624329,1.019509,4.410500,7.986948,-17.547273,-102.137299,1.148857
0.020000,3.683768,1.159695,4.562766,7.613313,-18.681745,-56.723557,1.190427
0.020000,3.734946,1.295166,4.707582,7.240792,-18.626070,2.783707,1.228510
0.020000,3.778848,1.425559,4.845168,6.879271,-18.076067,27.500169,1.263329
0.020000,3.816374,1.550641,4.975757,6.529488,-17.489114,29.347650,1.295118
0.020000,3.848340,1.670279,5.099592,6.191744,-16.887204,30.095522,1.324118
0.020000,3.875469,1.784409,5.216902,5.865514,-16.311501,28.785112,1.350560
0.020000,3.898404,1.893018,5.327906,5.550187,-15.766343,27.257940,1.374663
0.020000,3.917709,1.996126,5.432806,5.245005,-15.259137,25.360264,1.396628
0.020000,3.933879,2.093778,5.531787,4.949056,-14.797421,23.085791,1.416641
0.020000,3.947349,2.186029,5.625017,4.661469,-14.379383,20.901908,1.434869
0.020000,3.958499,2.272945,5.712645,4.381401,-14.003386,18.799881,1.451463
0.020000,3.967661,2.354592,5.794804,4.107975,-13.671301,16.604221,1.466556
0.020000,3.975127,2.431040,5.871616,3.840597,-13.368910,15.119584,1.480268
0.020000,3.981152,2.502355,5.943186,3.578470,-13.106348,13.128052,1.492705
0.020000,3.985960,2.568602,6.009607,3.321067,-12.870148,11.810041,1.503960
0.020000,3.989745,2.629841,6.070962,3.067767,-12.664990,10.257865,1.514117
0.020000,3.992680,2.686127,6.127325,2.818115,-12.482578,9.120608,1.523249
0.020000,3.994914,2.737512,6.178758,2.571690,-12.321246,8.066621,1.531418
0.020000,3.996578,2.784042,6.225318,2.327992,-12.184929,6.815822,1.538682
0.020000,3.997784,2.825760,6.267054,2.086762,-12.061497,6.171622,1.545087
0.020000,3.998630,2.862702,6.304005,1.847585,-11.958853,5.132198,1.550678
0.020000,3.999201,2.894902,6.336211,1.610279,-11.865305,4.677379,1.555488
0.020000,3.999566,2.922388,6.363699,1.374418,-11.793049,3.612801,1.559549
0.020000,3.999784,2.945184,6.386496,1.139850,-11.728376,3.233691,1.562886
0.020000,3.999903,2.963310,6.404622,0.906298,-11.677590,2.539291,1.565519
0.020000,3.999962,2.976978,6.418290,0.683408,-11.144534,26.652771,1.567493
0.020000,3.999987,2.986728,6.428040,0.487490,-9.795904,67.431527,1.568896
0.020000,3.999997,2.993227,6.434539,0.324969,-8.126031,83.493617,1.569828
0.020000,3.999999,2.997140,6.438453,0.195673,-6.464816,83.060757,1.570388
0.020000,4.000000,2.999133,6.440446,0.099641,-4.801607,83.160437,1.570672
0.020000,4.000000,2.999866,6.441178,0.036638,-3.150142,82.573295,1.570777
0.020000,4.000000,3.000000,6.441312,0.006700,-1.496880,82.663058,1.570796
0.020000,4.000000,3.000000,6.441312,0.000000,-0.335007,58.093665,1.570796
