dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000905,0.920000,0.000300,0.030000,1.500000,75.000000,6.282201
0.020000,0.000850,0.920000,0.000355,0.002755,-1.362263,-143.113166,6.282261
0.020000,0.000726,0.920000,0.000479,0.006199,0.172231,76.724730,6.282396
0.020000,0.000506,0.920000,0.000700,0.011025,0.241293,3.453080,6.282636
0.020000,0.000161,0.920000,0.001044,0.017237,0.310614,3.466062,6.283010
0.020000,0.006966,0.920001,0.007850,0.340263,16.151260,792.032310,0.000365
0.020000,0.020701,0.920011,0.021584,0.686735,17.323592,58.616585,0.001087
0.020000,0.037868,0.920038,0.038752,0.858377,8.582147,-437.072272,0.001991
0.020000,0.058468,0.920090,0.059351,1.029966,8.579442,-0.135245,0.003079
0.020000,0.082497,0.920179,0.083381,1.201467,8.575051,-0.219541,0.004353
0.020000,0.109951,0.920319,0.110835,1.372722,8.562742,-0.615419,0.005815
0.020000,0.140831,0.920524,0.141715,1.544024,8.565088,0.117276,0.007468
0.020000,0.175131,0.920812,0.176017,1.715075,8.552569,-0.625938,0.009313
0.020000,0.212851,0.921201,0.213739,1.886082,8.550317,-0.112633,0.011355
0.020000,0.253986,0.921715,0.254877,2.056929,8.542390,-0.396340,0.013596
0.020000,0.298531,0.922375,0.299427,2.227504,8.528721,-0.683441,0.016041
0.020000,0.346484,0.923207,0.347388,2.398018,8.525690,-0.151538,0.018693
0.020000,0.397837,0.924241,0.398751,2.568165,8.507390,-0.915032,0.021558
0.020000,0.452587,0.925506,0.453515,2.738216,8.502520,-0.243487,0.024640
0.020000,0.510728,0.927035,0.511676,2.908046,8.491507,-0.550623,0.027944
0.020000,0.572251,0.928863,0.573227,3.077531,8.474247,-0.863018,0.031477
0.020000,0.637147,0.931028,0.638159,3.246597,8.453305,-1.047118,0.035245
0.020000,0.705412,0.933572,0.706471,3.415621,8.451219,-0.104293,0.039254
0.020000,0.777033,0.936537,0.778154,3.584132,8.425529,-1.284466,0.043512
0.020000,0.852000,0.939971,0.853199,3.752263,8.406531,-0.949926,0.048027
0.020000,0.930303,0.943921,0.931601,3.920109,8.392326,-0.710248,0.052808
0.020000,1.011927,0.948442,1.013351,4.087474,8.368229,-1.204849,0.057863
0.020000,1.096860,0.953589,1.098439,4.254417,8.347166,-1.053141,0.063202
0.020000,1.185084,0.959421,1.186856,4.420833,8.320814,-1.317592,0.068836
0.020000,1.276582,0.966002,1.278591,4.586749,8.295770,-1.252196,0.074776
0.020000,1.371336,0.973398,1.373633,4.752100,8.267567,-1.410180,0.081033
0.020000,1.469326,0.981680,1.471972,4.916986,8.244276,-1.164518,0.087621
0.020000,1.570528,0.990922,1.573595,5.081143,8.207848,-1.821406,0.094553
0.020000,1.674915,1.001205,1.678488,5.244615,8.173646,-1.710136,0.101843
0.020000,1.782459,1.012611,1.786635,5.407367,8.137589,-1.802846,0.109507
0.020000,1.893133,1.025229,1.898026,5.569546,8.108958,-1.431519,0.117562
0.020000,2.006899,1.039152,2.012640,5.730717,8.058544,-2.520732,0.126025
0.020000,2.123720,1.054479,2.130462,5.891098,8.019012,-1.976575,0.134913
0.020000,2.243554,1.071312,2.251473,6.050531,7.971666,-2.367284,0.144248
0.020000,2.366358,1.089763,2.375655,6.209131,7.930011,-2.082777,0.154050
0.020000,2.492080,1.109946,2.502987,6.366566,7.871725,-2.914311,0.164341
0.020000,2.620666,1.131981,2.633447,6.523022,7.822797,-2.446377,0.175144
0.020000,2.752054,1.155997,2.767013,6.678274,7.762638,-3.007982,0.186485
0.020000,2.886180,1.182128,2.903660,6.832380,7.705307,-2.866510,0.198389
0.020000,3.022970,1.210514,3.043364,6.985180,7.639975,-3.266638,0.210884
0.020000,3.162343,1.241302,3.186098,7.136696,7.575805,-3.208472,0.223998
0.020000,3.304212,1.274646,3.331833,7.286744,7.502413,-3.669611,0.237762
0.020000,3.448483,1.310710,3.480543,7.435502,7.437897,-3.225803,0.252207
0.020000,3.595049,1.349660,3.632196,7.582670,7.358398,-3.974964,0.267364
0.020000,3.743799,1.391674,3.786765,7.728439,7.288419,-3.498937,0.283267
0.020000,3.894342,1.436853,3.943941,7.858805,6.518317,-38.505106,0.299921
0.020000,4.046034,1.485204,4.103153,7.960605,5.090025,-71.414588,0.317297
0.020000,4.198237,1.536706,4.263833,8.034014,3.670445,-70.979004,0.335360
0.020000,4.350320,1.591303,4.425419,8.079297,2.264132,-70.315644,0.354067
0.020000,4.501669,1.648907,4.587360,8.097050,0.887667,-68.823237,0.373368
0.020000,4.651684,1.709389,4.749108,8.087394,-0.482825,-68.524632,0.393204
0.020000,4.800029,1.772691,4.910395,8.064357,-1.151842,-33.450850,0.413540
0.020000,4.946626,1.838846,5.071227,8.041611,-1.137300,0.727141,0.434372
0.020000,5.091390,1.907882,5.231610,8.019147,-1.123187,0.705612,0.455691
0.020000,5.234240,1.979825,5.391554,7.997187,-1.097998,1.259461,0.477488
0.020000,5.375096,2.054698,5.551073,7.975931,-1.062827,1.758551,0.499747
0.020000,5.513875,2.132518,5.710182,7.955443,-1.024399,1.921399,0.522452
0.020000,5.650498,2.213300,5.868900,7.935910,-0.976637,2.388091,0.545580
0.020000,5.784888,2.297052,6.027251,7.917546,-0.918216,2.921053,0.569107
0.020000,5.916969,2.383780,6.185261,7.900523,-0.851144,3.353591,0.593005
0.020000,6.046668,2.473485,6.342960,7.884922,-0.780031,3.555686,0.617241
0.020000,6.173916,2.566163,6.500380,7.871015,-0.695345,4.234265,0.641780
0.020000,6.298645,2.661804,6.657557,7.858858,-0.607864,4.374090,0.666583
0.020000,6.420794,2.760394,6.814530,7.848622,-0.511786,4.803897,0.691608
0.020000,6.540303,2.861916,6.971339,7.840457,-0.408276,5.175468,0.716811
0.020000,6.657119,2.966344,7.128027,7.834393,-0.303200,5.253815,0.742146
