dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,0.000000,0.000300,0.030000,1.500000,75.000000,6.282201
0.020000,0.000000,0.000000,0.001500,0.090000,3.000000,75.000000,6.282261
0.020000,0.000000,0.000000,0.004200,0.180000,4.500000,75.000000,6.282396
0.020000,0.000000,0.000000,0.009000,0.300000,6.000000,75.000000,6.282636
0.020000,0.000000,0.000000,0.016500,0.450000,7.500000,75.000000,6.283010
0.020000,0.007302,0.000001,0.027300,0.630000,9.000000,75.000000,0.000365
0.020000,0.021701,0.000012,0.041700,0.810000,9.000000,0.000000,0.001087
0.020000,0.039700,0.000039,0.059700,0.990000,9.000000,-0.000000,0.001991
0.020000,0.061301,0.000094,0.081300,1.170000,9.000000,0.000000,0.003079
0.020000,0.086502,0.000188,0.106500,1.350000,9.000000,0.000000,0.004353
0.020000,0.115301,0.000334,0.135300,1.530000,9.000000,0.000000,0.005815
0.020000,0.147701,0.000549,0.167700,1.710000,9.000000,-0.000000,0.007468
0.020000,0.183699,0.000851,0.203700,1.890000,9.000000,0.000000,0.009313
0.020000,0.223297,0.001261,0.243300,2.070000,9.000000,-0.000000,0.011355
0.020000,0.266494,0.001800,0.286500,2.250000,9.000000,0.000000,0.013596
0.020000,0.313288,0.002493,0.333300,2.430000,9.000000,0.000000,0.016041
0.020000,0.363681,0.003368,0.383700,2.610000,9.000000,-0.000000,0.018693
0.020000,0.417669,0.004455,0.437700,2.790000,9.000000,0.000000,0.021558
0.020000,0.475253,0.005785,0.495300,2.970000,9.000000,0.000000,0.024640
0.020000,0.536433,0.007394,0.556500,3.150000,9.000000,0.000000,0.027944
0.020000,0.601205,0.009318,0.621300,3.330000,9.000000,0.000000,0.031477
0.020000,0.669565,0.011600,0.689700,3.510000,9.000000,-0.000000,0.035245
0.020000,0.741516,0.014281,0.761700,3.690000,9.000000,0.000000,0.039254
0.020000,0.817052,0.017408,0.837300,3.870000,9.000000,0.000000,0.043512
0.020000,0.896168,0.021031,0.916500,4.050000,9.000000,-0.000000,0.048027
0.020000,0.978863,0.025204,0.999300,4.230000,9.000000,0.000000,0.052808
0.020000,1.065131,0.029982,1.085700,4.410000,9.000000,0.000000,0.057863
0.020000,1.154967,0.035426,1.175700,4.590000,9.000000,-0.000000,0.063202
0.020000,1.248363,0.041600,1.269300,4.770000,9.000000,0.000000,0.068836
0.020000,1.345312,0.048573,1.366500,4.950000,9.000000,-0.000000,0.074776
0.020000,1.445805,0.056417,1.467300,5.130000,9.000000,0.000000,0.081033
0.020000,1.549835,0.065209,1.571700,5.310000,9.000000,-0.000000,0.087621
0.020000,1.657387,0.075032,1.679700,5.490000,9.000000,0.000000,0.094553
0.020000,1.768449,0.085972,1.791300,5.670000,9.000000,-0.000000,0.101843
0.020000,1.883005,0.098122,1.906500,5.850000,9.000000,0.000000,0.109507
0.020000,2.001042,0.111579,2.025300,6.030000,9.000000,-0.000000,0.117562
0.020000,2.122535,0.126448,2.147700,6.210000,9.000000,0.000000,0.126025
0.020000,2.247464,0.142839,2.273700,6.390000,9.000000,0.000000,0.134913
0.020000,2.375802,0.160867,2.403300,6.570000,9.000000,0.000000,0.144248
0.020000,2.507524,0.180658,2.536500,6.750000,9.000000,-0.000000,0.154050
0.020000,2.642594,0.202341,2.673300,6.930000,9.000000,0.000000,0.164341
0.020000,2.780976,0.226056,2.813700,7.110000,9.000000,0.000000,0.175144
0.020000,2.922628,0.251948,2.957700,7.290000,9.000000,0.000000,0.186485
0.020000,3.067503,0.280174,3.105300,7.470000,9.000000,-0.000000,0.198389
0.020000,3.215548,0.310895,3.256500,7.650000,9.000000,-0.000000,0.210884
0.020000,3.366703,0.344286,3.411300,7.830000,9.000000,0.000000,0.223998
0.020000,3.520898,0.380528,3.569700,8.010000,9.000000,-0.000000,0.237762
0.020000,3.678061,0.419815,3.731700,8.190000,9.000000,0.000000,0.252207
0.020000,3.838104,0.462347,3.897300,8.370000,9.000000,0.000000,0.267364
0.020000,4.000933,0.508338,4.066500,8.550000,9.000000,-0.000000,0.283267
0.020000,4.166151,0.557921,4.239000,8.700000,7.500000,-75.000000,0.299921
0.020000,4.333074,0.611128,4.414200,8.820000,6.000000,-75.000000,0.317297
0.020000,4.501017,0.667958,4.591500,8.910000,4.500000,-75.000000,0.335360
0.020000,4.669298,0.728371,4.770300,8.970000,3.000000,-75.000000,0.354067
0.020000,4.837243,0.792291,4.950000,9.000000,1.500000,-75.000000,0.373368
0.020000,5.004182,0.859598,5.130000,9.000000,0.000000,-75.000000,0.393204
0.020000,5.169735,0.930243,5.310000,9.000000,0.000000,0.000000,0.413540
0.020000,5.333800,1.004282,5.490000,9.000000,0.000000,0.000000,0.434372
0.020000,5.496267,1.081761,5.670000,9.000000,0.000000,0.000000,0.455691
0.020000,5.657026,1.162725,5.850000,9.000000,0.000000,0.000000,0.477488
0.020000,5.815963,1.247211,6.030000,9.000000,0.000000,0.000000,0.499747
0.020000,5.972961,1.335248,6.210000,9.000000,0.000000,0.000000,0.522452
0.020000,6.127899,1.426859,6.390000,9.000000,0.000000,0.000000,0.545580
0.020000,6.280657,1.522060,6.570000,9.000000,0.000000,0.000000,0.569107
0.020000,6.431116,1.620856,6.750000,9.000000,0.000000,0.000000,0.593005
0.020000,6.579152,1.723245,6.930000,9.000000,0.000000,0.000000,0.617241
0.020000,6.724648,1.829214,7.110000,9.000000,0.000000,0.000000,0.641780
0.020000,6.867485,1.938740,7.290000,9.000000,0.000000,0.000000,0.666583
0.020000,7.007548,2.051790,7.470000,9.000000,0.000000,0.000000,0.691608
0.020000,7.144728,2.168323,7.650000,9.000000,0.000000,0.000000,0.716811
0.020000,7.278920,2.288285,7.830000,9.000000,0.000000,0.000000,0.742146
0.020000,7.410024,2.411614,8.010000,9.000000,0.000000,0.000000,0.767564
0.020000,7.537948,2.538238,8.190000,9.000000,0.000000,0.000000,0.793017
0.020000,7.662608,2.668076,8.370000,9.000000,0.000000,0.000000,0.818455
0.020000,7.783930,2.801040,8.550000,9.000000,0.000000,0.000000,0.843829
0.020000,7.901846,2.937032,8.730000,9.000000,0.000000,0.000000,0.869090
0.020000,8.016300,3.075951,8.910000,9.000000,0.000000,0.000000,0.894192
0.020000,8.127246,3.217688,9.090000,9.000000,0.000000,0.000000,0.919089
0.020000,8.234646,3.362131,9.270000,9.000000,0.000000,0.000000,0.943739
0.020000,8.338474,3.509162,9.450000,9.000000,0.000000,0.000000,0.968101
0.020000,8.438713,3.658663,9.630000,9.000000,0.000000,0.000000,0.992139
0.020000,8.535357,3.810512,9.810000,9.000000,0.000000,0.000000,1.015819
0.020000,8.628408,3.964590,9.990000,9.000000,0.000000,0.000000,1.039110
0.020000,8.717878,4.120776,10.170000,9.000000,0.000000,0.000000,1.061988
0.020000,8.803785,4.278948,10.350000,9.000000,0.000000,0.000000,1.084428
0.020000,8.886159,4.438989,10.530000,9.000000,0.000000,0.000000,1.106412
0.020000,8.965032,4.600784,10.710000,9.000000,0.000000,0.000000,1.127924
0.020000,9.040446,4.764221,10.890000,9.000000,0.000000,0.000000,1.148953
0.020000,9.112448,4.929190,11.070000,9.000000,0.000000,0.000000,1.169489
0.020000,9.181088,5.095585,11.250000,9.000000,0.000000,0.000000,1.189526
0.020000,9.246347,5.263106,11.429787,8.978709,-1.064536,-53.226777,1.209038
0.020000,9.308125,5.431171,11.608848,8.927419,-2.564536,-75.000000,1.227973
0.020000,9.366328,5.599103,11.786584,8.846128,-4.064536,-75.000000,1.246276
0.020000,9.420907,5.766223,11.962393,8.734837,-5.564536,-75.000000,1.263904
0.020000,9.471850,5.931848,12.135677,8.593546,-7.064536,-75.000000,1.280818
0.020000,9.519177,6.095289,12.305835,8.422256,-8.564536,-75.000000,1.296987
0.020000,9.562994,6.256070,12.472480,8.242256,-9.000000,-21.773223,1.312407
0.020000,9.603491,6.414004,12.635526,8.062256,-9.000000,0.000000,1.327103
0.020000,9.640874,6.569002,12.794971,7.882256,-9.000000,0.000000,1.341107
0.020000,9.675339,6.720988,12.950816,7.702256,-9.000000,-0.000000,1.354451
0.020000,9.707070,6.869889,13.103061,7.522256,-9.000000,0.000000,1.367164
0.020000,9.736244,7.015641,13.251706,7.342256,-9.000000,-0.000000,1.379277
0.020000,9.763028,7.158193,13.396751,7.162256,-9.000000,0.000000,1.390817
0.020000,9.787579,7.297489,13.538196,6.982256,-9.000000,0.000000,1.401811
0.020000,9.810048,7.433490,13.676041,6.802256,-9.000000,-0.000000,1.412283
0.020000,9.830575,7.566156,13.810286,6.622256,-9.000000,-0.000000,1.422257
0.020000,9.849293,7.695452,13.940932,6.442256,-9.000000,0.000000,1.431757
0.020000,9.866329,7.821349,14.067977,6.262256,-9.000000,-0.000000,1.440803
0.020000,9.881802,7.943821,14.191422,6.082256,-9.000000,0.000000,1.449416
0.020000,9.895824,8.062843,14.311267,5.902256,-9.000000,-0.000000,1.457614
0.020000,9.908501,8.178394,14.427512,5.722256,-9.000000,0.000000,1.465415
0.020000,9.919932,8.290457,14.540157,5.542256,-9.000000,-0.000000,1.472837
0.020000,9.930213,8.399016,14.649202,5.362256,-9.000000,0.000000,1.479894
0.020000,9.939432,8.504058,14.754647,5.182256,-9.000000,0.000000,1.486602
0.020000,9.947672,8.605568,14.856493,5.002256,-9.000000,-0.000000,1.492975
0.020000,9.955013,8.703540,14.954738,4.822256,-9.000000,0.000000,1.499025
0.020000,9.961528,8.797961,15.049383,4.642256,-9.000000,0.000000,1.504765
0.020000,9.967288,8.888822,15.140428,4.462256,-9.000000,0.000000,1.510206
0.020000,9.972357,8.976119,15.227873,4.282256,-9.000000,0.000000,1.515359
0.020000,9.976799,9.059847,15.311718,4.102256,-9.000000,-0.000000,1.520234
0.020000,9.980669,9.140000,15.391963,3.922256,-9.000000,0.000000,1.524840
0.020000,9.984024,9.216572,15.468608,3.742256,-9.000000,-0.000000,1.529186
0.020000,9.986913,9.289559,15.541653,3.562256,-9.000000,0.000000,1.533280
0.020000,9.989384,9.358959,15.611099,3.382256,-9.000000,0.000000,1.537129
0.020000,9.991481,9.424771,15.676944,3.202256,-9.000000,-0.000000,1.540740
0.020000,9.993246,9.486993,15.739189,3.022256,-9.000000,0.000000,1.544121
0.020000,9.994718,9.545619,15.797834,2.842256,-9.000000,0.000000,1.547277
0.020000,9.995931,9.600650,15.852879,2.662256,-9.000000,-0.000000,1.550213
0.020000,9.996920,9.652084,15.904324,2.482256,-9.000000,0.000000,1.552935
0.020000,9.997714,9.699924,15.952169,2.302256,-9.000000,-0.000000,1.555447
0.020000,9.998342,9.744165,15.996414,2.122256,-9.000000,0.000000,1.557755
0.020000,9.998830,9.784807,16.037059,1.942256,-9.000000,-0.000000,1.559860
0.020000,9.999199,9.821851,16.074105,1.762256,-9.000000,0.000000,1.561768
0.020000,9.999473,9.855293,16.107550,1.582256,-9.000000,-0.000000,1.563482
0.020000,9.999668,9.885138,16.137395,1.402256,-9.000000,0.000000,1.565003
0.020000,9.999803,9.911382,16.163640,1.222256,-9.000000,-0.000000,1.566336
0.020000,9.999891,9.934027,16.186285,1.042256,-9.000000,0.000000,1.567481
0.020000,9.999945,9.953072,16.205330,0.862256,-9.000000,0.000000,1.568442
0.020000,9.999975,9.968517,16.220775,0.682256,-9.000000,0.000000,1.569218
0.020000,9.999990,9.980364,16.232620,0.502256,-9.000000,-0.000000,1.569813
0.020000,9.999997,9.988820,16.241078,0.343546,-7.935464,53.226777,1.570237
0.020000,9.999999,9.994404,16.246662,0.214837,-6.435464,75.000000,1.570516
0.020000,10.000000,9.997715,16.249972,0.116128,-4.935464,75.000000,1.570682
0.020000,10.000000,9.999351,16.251607,0.047419,-3.435464,75.000000,1.570764
0.020000,10.000000,9.999913,16.252169,0.008709,-1.935464,75.000000,1.570792
0.020000,10.000000,10.000000,16.252256,0.000000,-0.435464,75.000000,1.570796
0.020000,10.000000,10.000000,16.252256,0.000000,0.000000,21.773223,1.570796
