dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,-0.000905,-0.920000,0.000300,0.030000,1.500000,75.000000,6.282201
0.020000,-0.000850,-0.920000,0.000355,0.002755,-1.362263,-143.113166,6.282261
0.020000,-0.000726,-0.920000,0.000479,0.006199,0.172231,76.724730,6.282396
0.020000,-0.000506,-0.920000,0.000700,0.011025,0.241293,3.453080,6.282636
0.020000,-0.000161,-0.920000,0.001044,0.017237,0.310614,3.466062,6.283010
0.020000,0.007638,-0.919999,0.008844,0.389969,18.636573,916.297920,0.000365
0.020000,0.022701,-0.919988,0.023906,0.753112,18.157141,-23.971563,0.001087
0.020000,0.041532,-0.919959,0.042737,0.941557,9.422259,-436.744117,0.001991
0.020000,0.064133,-0.919901,0.065339,1.130085,9.426414,0.207744,0.003079
0.020000,0.090507,-0.919803,0.091713,1.318689,9.430201,0.189349,0.004353
0.020000,0.120651,-0.919650,0.121857,1.507225,9.426806,-0.169754,0.005815
0.020000,0.154571,-0.919425,0.155778,1.696046,9.441047,0.712048,0.007468
0.020000,0.192267,-0.919109,0.193475,1.884857,9.440557,-0.024499,0.009313
0.020000,0.233743,-0.918680,0.234954,2.073917,9.452986,0.621468,0.011355
0.020000,0.279002,-0.918115,0.280216,2.263135,9.460880,0.394706,0.013596
0.020000,0.328045,-0.917389,0.329265,2.452419,9.464210,0.166512,0.016041
0.020000,0.380878,-0.916471,0.382105,2.642041,9.481079,0.843407,0.018693
0.020000,0.437501,-0.915332,0.438739,2.831701,9.483030,0.097559,0.021558
0.020000,0.497919,-0.913936,0.499174,3.021736,9.501769,0.936948,0.024640
0.020000,0.562138,-0.912247,0.563415,3.212053,9.515825,0.702805,0.027944
0.020000,0.630159,-0.910226,0.631466,3.402556,9.525157,0.466599,0.031477
0.020000,0.701984,-0.907829,0.703331,3.593210,9.532684,0.376345,0.035245
0.020000,0.777621,-0.905011,0.779020,3.784480,9.563489,1.540282,0.039254
0.020000,0.857070,-0.901721,0.858538,3.975894,9.570700,0.360527,0.043512
0.020000,0.940336,-0.897908,0.941891,4.167653,9.587971,0.863555,0.048027
0.020000,1.027424,-0.893514,1.029089,4.359921,9.613390,1.270968,0.052808
0.020000,1.118335,-0.888478,1.120140,4.552537,9.630795,0.870239,0.057863
0.020000,1.213074,-0.882737,1.215053,4.745631,9.654714,1.195962,0.063202
0.020000,1.311642,-0.876221,1.313836,4.939152,9.676058,1.067189,0.068836
0.020000,1.414042,-0.868856,1.416500,5.133200,9.702371,1.315628,0.074776
0.020000,1.520274,-0.860564,1.523055,5.327777,9.728867,1.324832,0.081033
0.020000,1.630343,-0.851261,1.633517,5.523073,9.764822,1.797728,0.087621
0.020000,1.744246,-0.840859,1.747894,5.718877,9.790196,1.268702,0.094553
0.020000,1.861983,-0.829261,1.866201,5.915326,9.822439,1.612148,0.101843
0.020000,1.983551,-0.816368,1.988450,6.112470,9.857222,1.739148,0.109507
0.020000,2.108950,-0.802071,2.114662,6.310577,9.905322,2.404996,0.117562
0.020000,2.238171,-0.786256,2.244847,6.509255,9.933905,1.429180,0.126025
0.020000,2.371208,-0.768801,2.379024,6.708859,9.980194,2.314418,0.134913
0.020000,2.508051,-0.749578,2.517211,6.909324,10.023248,2.152738,0.144248
0.020000,2.648690,-0.728447,2.659429,7.110898,10.078710,2.773058,0.154050
0.020000,2.793107,-0.705263,2.805695,7.313323,10.121259,2.127477,0.164341
0.020000,2.941286,-0.679869,2.956034,7.516940,10.180836,2.978819,0.175144
0.020000,3.093201,-0.652101,3.110466,7.721619,10.233965,2.656494,0.186485
0.020000,3.248827,-0.621781,3.269017,7.927558,10.296923,3.147859,0.198389
0.020000,3.408127,-0.588723,3.431711,8.134702,10.357206,3.014170,0.210884
0.020000,3.571063,-0.552730,3.598576,8.343209,10.425362,3.407787,0.223998
0.020000,3.737585,-0.513590,3.769635,8.552990,10.489062,3.184995,0.237762
0.020000,3.907639,-0.471080,3.944923,8.764374,10.569164,4.005098,0.252207
0.020000,4.081159,-0.424966,4.124465,8.977115,10.637090,3.396341,0.267364
0.020000,4.258068,-0.374997,4.308296,9.191534,10.720917,4.191312,0.283267
0.020000,4.437960,-0.321010,4.496114,9.390930,9.969816,-37.555042,0.299921
0.020000,4.620113,-0.262947,4.687298,9.559169,8.411972,-77.892173,0.317297
0.020000,4.803797,-0.200791,4.881214,9.695787,6.830887,-79.054279,0.335360
0.020000,4.988276,-0.134562,5.077221,9.800347,5.227997,-80.144466,0.354067
0.020000,5.172816,-0.064324,5.274675,9.872747,3.619991,-80.400314,0.373368
0.020000,5.356680,0.009807,5.472920,9.912248,1.975069,-82.246114,0.393204
0.020000,5.539440,0.087796,5.671625,9.935246,1.149896,-41.258665,0.413540
0.020000,5.720973,0.169718,5.870787,9.958101,1.142721,-0.358746,0.434372
0.020000,5.901144,0.255641,6.070397,9.980506,1.120252,-1.123453,0.455691
0.020000,6.079811,0.345625,6.270446,10.002416,1.095521,-1.236539,0.477488
0.020000,6.256830,0.439723,6.470921,10.023741,1.066221,-1.464992,0.499747
0.020000,6.432046,0.537977,6.671805,10.044201,1.023039,-2.159117,0.522452
0.020000,6.605299,0.640419,6.873078,10.063660,0.972920,-2.505934,0.545580
0.020000,6.776427,0.747068,7.074718,10.082004,0.917230,-2.784483,0.569107
0.020000,6.945263,0.857932,7.276699,10.099073,0.853427,-3.190157,0.593005
0.020000,7.111637,0.973005,7.478991,10.114592,0.775936,-3.874559,0.617241
0.020000,7.275381,1.092265,7.681562,10.128546,0.697704,-3.911600,0.641780
0.020000,7.436325,1.215676,7.884375,10.140668,0.606096,-4.580397,0.666583
0.020000,7.594303,1.343187,8.087393,10.150871,0.510151,-4.797278,0.691608
0.020000,7.749154,1.474731,8.290574,10.159079,0.410407,-4.987181,0.716811
0.020000,7.900721,1.610227,8.493877,10.165112,0.301660,-5.437363,0.742146
